hindi,phon
पिसलाना, p i s l aa n aa
पिसवाई, p i s v aa ii
पिसवाना, p i s v aa n aa
पिसाई, p i s aa ii
पिसान, p i s aa n
पिसाना, p i s aa n aa
पिसोरा, p i s o r aa
पिस्तई, p i s t a ii
पिस्तौल, p i s t O l
पिस्सू, p i s s uu
पिहकना, p i h a k n aa
पिहान, p i h aa n
पिहाना, p i h aa n aa
पिहानी, p i h aa n ii
पिहुआ, p i h u aa
पींग, p ii ng g
पींजना, p ii n j n aa
पींड, p ii n dd
पींडी, p ii n dd ii
पी, p ii
पीक, p ii k
पीच, p ii c
पीचना, p ii c n aa
पीचू, p ii c uu
पीछा, p ii ch aa
पीछू, p ii ch uu
पीछे, p ii ch e
पीटना, p ii tt n aa
पीठ, p ii tth
पीठ, p ii tth
पीठा, p ii tth aa
पीठिका, p ii tth i k aa
पीठी, p ii tth ii
पीठौता, p ii tth O t aa
पीड़, p ii rr
पीड़क, p ii rr a k
पीड़न, p ii rr a n
पीड़ना, p ii rr n aa
पीडा़, p ii rr aa
पीड़ित, p ii rr i t
पीढा़, p ii rrh aa
पीढी़, p ii rrh ii
पीत, p ii t
पीत, p ii t
पीतक, p ii t a k
पीतता, p ii t @ t aa
पीतम, p ii t a m
पीतल, p ii t a l
पीतस, p ii t a s
पीतसरा, p ii t a s r aa
पीन, p ii n
पीनक, p ii n a k
पीनना, p ii n n aa
पीनस, p ii n a s
पीनस, p ii n a s
पीना, p ii n aa
पीना, p ii n aa
पीप, p ii p
पीपडा़, p ii p rr aa
पीपडी़, p ii p rr ii
पीपल, p ii p a l
पीपल, p ii p a l
पीपला, p ii p l aa
पीपला, p ii p l aa
पीपा, p ii p aa
पीब, p ii b
पियूष, p ii y uu sh
पीर, p ii r
पीर, p ii r
पीरी, p ii r ii
पीरू, p ii r uu
पील, p ii l
पीलक, p ii l a k
पीला, p ii l aa
पीलाई, p ii l aa ii
पीलापन, p ii l aa p a n
पीलाम, p ii l aa m
पीलिया, p ii l i y aa
पीली, p ii l ii
पीलू, p ii l uu
पीलू, p ii l uu
पीलू, p ii l uu
पीलो, p ii l o
पीवर, p ii v a r
पीवा, p ii v aa
पीसन, p ii s a n
पीसना, p ii s n aa
पिसनी, p ii s n ii
पीहर, p ii h a r
पीहू, p ii h uu
पुं-, p u ~ -
पुंगरिया, p u ng g r i y aa
पुँगरी, p u ng g r ii
पुंगव, p u ng g a v
पुंगी, p u ng g ii
पुंज, p u n
पुंजित, p u n i t
पुँछल्ल, p u n ch a l l a
पुंजीभूत, p u n ii bh uu t
पुंडरिया, p u n dd a r i y aa
पुंडरीक, p u n dd a r ii k
पुंड्र, p u n dd r @
पुंडेरिया, p u n dd e r i y aa
पुंलिंग, p u ~ l i ng g
पुंश्चली, p u n sh c a l ii
पुंस्, p u n s
पुंसत्व, p u n s a t v @
पुआ, p u aa
पुआल, p u aa l
पुकार, p u k aa r
पुकारना, p u k aa r n aa
पुकारा, p u k aa r aa
पुख, p u kh
पुखराज, p u kh r aa j
पुख़्ता, p u x t aa
पुचकारना, p u c k aa r n aa
पुचकारा, p u c k aa r aa
पुचकारी, p u c k aa r ii
पुचकारी, p u c k aa r ii
पुचाडा़, p u c aa rr aa
पुचारा, p u c aa r aa
पुच्छ, p u c ch
पुच्छत्तर, p u c ch a t t a r
पुच्छल, p u c ch a l
पुच्छी, p u c ch ii
पुछना, p u ch n aa
पुछल्ला, p u ch a l l aa
पुछवाना, p u ch v aa n aa
पुछवैया, p u ch v E y aa
पुछार, p u ch aa r
पुजना, p u j n aa
पुजना, p u j n aa
पुजवाना, p u j v aa n aa
पुजवाना, p u j v aa n aa
पुजा-, p u j aa -
पुजाना, p u j aa n aa
पुजापा, p u j aa p aa
पुजारी, p u j aa r ii
पुट, p u tt
पुट, p u tt
पुटकी, p u tt k ii
पुटपुटाना, p u tt p u tt aa n aa
पुटी, p u tt ii
पुट्ठा, p u tt tth aa
पुठवाल, p u tth v aa l
पुडा़, p u rr aa
पुडा़, p u rr aa
पुडि़या, p u rr i y aa
पुडी़, p u rr ii
पुण्य, p u n y @
पुण्याई, p u n y aa ii
पुतना, p u t n aa
पुतला, p u t l aa
पुतली, p u t l ii
पुतवाई, p u t v aa ii
पुतवाना, p u t v aa n aa
पुताई, p u t aa ii
पुत्तलिका, p u t t @ l i k aa
पुत्र, p u t r
पुत्रता, p u t r @ t aa
पुत्रिका, p u t r i k aa
पुत्री, p u t r ii
पुदीना, p u d ii n aa
पुन, p u n
पुनः, p u n a h
पुनना, p u n n aa
पुनर्-, p u n a r -
पुनश-, p u n a sh -
पुनाग, p u n aa g
पुनि, p u n i
पुनीत, p u n ii t
पुन्न, p u n n
पुरंजन, p u r a n a n
पुरंदर, p u r a n d a r
पुर, p u r
पुर, p u r
पुर-, p u r -
पुरइन, p u r a  i n
पुर-, p u r a h -
पुरखा, p u r kh aa
पुरचक, p u r c a k
पुरजा़, p u r z aa
पुरट, p u r a tt
पुरता, p u r t aa
पुरनिया, p u r a n i y aa
पुरवट, p u r v a tt
पुरवा, p u r v aa
पुरवा, p u r v aa
पुरवाना, p u r v aa n aa
पुरवैया, p u r v E y aa
पुरश-, p u r a sh -
पुरस-, p u r a s -
पुरसा, p u r s aa
पुरा, p u r aa
पुरा, p u r aa
पुरा, p u r aa
पुरा-, p u r aa -
पुराण, p u r aa n
पुरातत्व, p u r aa - t a t t v @
पुरातन, p u r aa - t a n
पुरातनता, p u r aa - t a n @ t aa
पुरातात्त्विक, p u r aa - t aa t t v i k
पुराना, p u r aa n aa
पुरानापन, p u r aa n aa p a n
पुरालिपि, p u r aa - l i p i
पुरालेख, p u r aa - l e kh
पुरावशेष, p u r aa v @ - sh e sh
पुरी, p u r ii
पुरी, p u r ii
पुरीष, p u r ii sh
पुरुष, p u r u sh
पुरुषत्व, p u r u sh a t v @
पुरो-, p u r o -
पुरोता, p u r o t aa
पुरौती, p u r O t ii
पुल, p u l
पुल, p u l
पुलंदा, p u l a n d aa
पुलक, p u l a k
पुलकना, p u l a k n aa
पुलकाना, p u l k aa n aa
पुलकित, p u l @ k i t
पुलकी, p u l @ k ii
पुलकी, p u l @ k ii
पुलटिस, p u l tt i s
पुलपुलाना, p u l p u l aa n aa
पुलपुलाना, p u l p u l aa n aa
पुलपुलाहट, p u l p u l aa h a tt
पुलस्ति, p u l a s t i
पुलहाना, p u l h aa n aa
पुलाव, p u l aa v
पुलिंदा, p u l i n d aa
पुलिज, p u l i j
पुलिन, p u l i n
पुलिया, p u l i y aa
पुलिस, p u l i s
पुलीद, p u l ii d
पुल्लिंग, p u l l i ng g
पुश्त, p u sh t
पुश्तक, p u sh t a k
पुश्ता, p u sh t aa
पुश्ती, p u sh t ii
पुश्तैनी, p u sh t E n ii
पुषित, p u sh i t
पुष्कर, p u sh k a r
पुष्करिणी, p u sh k a r i n ii
पुष्कल, p u sh k a l
पुष्ट, p u sh tt
पुष्टई, p u sh tt @ ii
पुष्टता, p u sh tt @ t aa
पुष्टि, p u sh tt i
पुष्टीकरण, p u sh tt ii k a r a n
पुष्प, p u sh p
पुष्पक, p u sh p a k
पुष्पिका, p u sh p i k aa
पुष्पित, p u sh p i t
पुष्पिता, p u sh p i t aa
पुष्पी, p u sh p ii
पुष्य, p u sh y @
पुसपूत, p u s p uu t
पुस्त, p u s t
पुस्तक, p u s t a k
पुस्तकीय, p u s t @ k ii y @
पुस्तिक, p u s t i k aa
पुहना, p u h n aa
पुहुप, p u h u p
पुहुमि, p u h u m i
पूँगडा़, p uu ng g rr aa
पूँगी़, p uu ng g ii
पूँछ, p uu n ch
पूँछार, p uu n ch aa r
पूँजी, p uu n j ii
पूग, p uu g
पूग-, p uu g -
पूगी, p uu g ii
पूछ, p uu ch
पूछन, p uu ch a n
पूछना, p uu ch n aa
पूछा, p uu ch aa
पूज-, p uu j -
पूजक, p uu j a k
पूजत, p uu j a t
पूजन, p uu j a n
पूजना, p uu j n aa
पूजनीय, p uu j @ n ii y @
पूजयिता, p uu j a y i t aa
पूजा, p uu j aa
पूजित, p uu j i t
पूजेरु, p uu j e r uu
पूज्य, p uu j y @
पूज्यत्व, p uu j y a t v @
पूट, p uu tt
पूठ, p uu tth
पूठा, p uu tth aa
पूडा़, p uu rr aa
पूडी़, p uu rr ii
पूत, p uu t
पूत, p uu t
पूति, p uu t i
पूति, p uu t i
पूनम, p uu n a m
पूनसलाई, p uu n - s a l aa ii
पूनी, p uu n ii
पूनो, p uu n o
पूप, p uu p
पूपला, p uu p l aa
पूय, p uu y @
पूर, p uu r
पूर, p uu r
पूर-, p uu r -
पूरक, p uu r a k
पूरण, p uu r a n
पूरन, p uu r n
पूरब, p uu r a b
पूरबी, p uu r b ii
पूरबी, p uu r b ii
पूरबीपन, p uu r b ii p a n
पूरा, p uu r aa
पूराई, p uu r aa ii
पूरापन, p uu r aa p a n
पूरित, p uu r i t
पुरिया, p uu r i y aa
पूरी, p uu r ii
पूर्ण, p uu r n
पूर्णता, p uu r n @ t aa
पूर्णिमा, p uu r n i m aa
पूर्ति, p uu r t i
पूर्व, p uu r v
-पूर्वक, - p uu r v a k
पूर्वता, p uu r v @ t aa
पूर्वी, p uu r v ii
पूर्वीय, p uu r v ii y @
पूला, p uu l aa
पूली, p uu l ii
पूष, p uu sh
पूष, p uu sh
पूषन, p uu sh a n
पूस, p uu s
पृच्छा, p r i c ch aa
पृथक्, p r i th a k
पृथकता, p r i th a k @ t aa
पृथिवी, p r i th i v ii
पृथु, p r i th u
पृथ्वी, p r i th v ii
पृश्नि, p r i sh n i
पृष्ठ, p r i sh tth
पें, p e ~
पेंग, p e ng g
पेंच, p e n c
पेंड-, p e n dd -
पेंदा, p e n d aa
पेंदी, p e n d ii
पेंशन, p e n sh a n
पेंसिल, p e n s i l
पेई, p e ii
पेख-, p e kh -
पेखनो, p e kh n o
पेच, p e c
पेचक, p e c a k
पेचा, p e c aa
पेचिश, p e c i sh
पेचीदगी, p e c ii d a g ii
पेचीदा, p e c ii d aa
पेचीला, p e c ii l aa
पेट, p e tt
पेटक, p e tt a k
पेटल, p e tt a l
पेटा, p e tt aa
पेटारा, p e tt aa r aa
पेटारी, p e tt aa r ii
पेटिका, p e tt i k aa
पेटिया, p e tt i y aa
पेटी, p e tt ii
पेटी, p e tt ii
पेटुनी, p e tt u n ii
पेटू, p e tt uu
पेटौखा, p e tt O kh aa
पेठा, p e tth aa
पेड़, p e rr
पेड़, p e rr
पेड़ना, p e rr n aa
पेडा़, p e rr aa
पेडी़, p e rr ii
पेडी़, p e rr ii
पेड़ू, p e rr uu
पेन्हाई, p e n h aa ii
पेय, p e y
पेयूष, p e y uu sh
पेरना, p e r n aa
पेल, p e l
पेलड़, p e l a rr
पेलडा़, p e l rr aa
पेलढ़, p e l a rrh
पेलना, p e l n aa
पेला, p e l aa
पेला, p e l aa
पेलू, p e l uu
पेवडी़, p e v rr ii
पेवस, p e v a s
पेवसी, p e v s ii
पेवस्त, p e v a s t
पेश, p e sh
पेशगी, p e sh g ii
पेशतर, p e sh t a r
पेशवा, p e sh v aa
पेशवाई, p e sh v aa ii
पेशा, p e sh aa
पेशानी, p e sh aa n ii
पेशाब, p e sh aa b
पेशावरी, p e sh aa v r ii
पेशी, p e sh ii
पेशी, p e sh ii
पेशीन-, p e sh ii n -
पेषण, p e sh a n
पेषनी, p e sh @ n ii
पैंकडा़, p E ~ k rr aa
पैंच, p E n c
पैंचना, p E n c n aa
पैंचा, p E n c aa
पैंजन, p E n j a n
पैंजनी, p E n j n ii
पैंठ, p E n tth
पैंड़, p E ~ rr
पैंडो़, p E ~ rr o
पैंतरा, p E n t r aa
पैंता, p E n t aa
पैंताना, p E n t aa n aa
पैंतालीस, p E n t aa l ii s
पैंतीस, p E n t ii s
पैंथी, p E n th ii
पैंसठ, p E n s a tth
पै, p E
पै, p E
पै-, p E -
पैकर, p E k a r
पैका, p E k aa
पैकाकार, p E k aa k aa r
पैकार, p E k aa r
पैग़ंबर, p E Gh a m b a r
पैग़ंबरी, p E Gh a m b a r ii
पैग़ाम, p E Gh aa m
पैगू, p E g uu
पैज, p E j
पैजना, p E j n aa
पैजनी, p E j n ii
पैजा़र, p E z aa r
पैठ, p E tth
पैठना, p E tth n aa
पैठाना, p E tth aa n aa
पैठार, p E tth aa r
पैठालना, p E tth aa l n aa
पैठाव, p E tth aa v
पैडा़, p E rr aa
पैडी़, p E rr ii
पैतरा, p E t r aa
पैताना, p E t aa n aa
पैतृक, p E t r i k
पैत्तिक, p E t t i k
पैथला, p E th l aa
पैदल, p E d a l
पैदा, p E d aa
पैदाइश, p E d aa i sh
पैदाइशी, p E d aa i sh ii
पैदावार, p E d aa v aa r
पैदावारी, p E d aa v aa r ii
पैन, p E n
पैना, p E n aa
पैनाना, p E n aa n aa
पैनापन, p E n aa p a n
पैनाला, p E n aa l aa
पैनी, p E n ii
पैमक, p E m a k
पैमाइश, p E m aa i sh
पैमाना, p E m aa n aa
पैया, p E y aa
पैया, p E y aa
पैर, p E r
पैरना, p E r n aa
पैरवी, p E r @ v ii
पैरा, p E r aa
पैरा, p E r aa
पैराई, p E r aa ii
पैराक, p E r aa k
पैराकी, p E r aa k ii
पैराना, p E r aa n aa
पैराव, p E r aa v
पैरी, p E r ii
पैरोकार, p E r o k aa r
पैला, p E l aa
पैलार, p E l aa r
पैवंद, p E v a n d
पैवंदी, p E v a n d ii
पैवस्ता, p E v a s t aa
पैशाच, p E sh aa c
पैशाचिक, p E sh aa c i k
पैशाची, p E sh aa c ii
पैशुन्य, p E sh u n y @
पैसना, p E s n aa
पैसा, p E s aa
पैसार, p E s aa r
पों, p o ~
पोंकना, p o ~ k n aa
पोंका, p o ~ k aa
पोंगल, p o ng g a l
पोंगा, p o ng g aa
पोंछन, p o n ch a n
पोंछना, p o n ch n aa
पोंछियाहा, p o n ch i y aa h aa
पोंटा, p o n tt aa
पोंटी, p o n tt ii
पोंठी, p o n tth ii
पोआ, p o aa
पोईया, p o i y aa
पोईस, p o i s
पोई, p o ii
पोई, p o ii
पोई, p o ii
पोका, p o k aa
पोखर, p o kh a r
पोखरा, p o kh r aa
पोच, p o c
पोची, p o c ii
पोट, p o tt
पोटला, p o tt l aa
पोटली, p o tt l ii
पोटा, p o tt aa
पोटा, p o tt aa
पोटिया, p o tt i y aa
पोटी, p o tt ii
पोठी, p o tth ii
पोढ़ा, p o rrh aa
पोढ़ी, p o rrh ii
पोत, p o t
पोत, p o t
पोत, p o t
पोत, p o t
पोत, p o t
पोत, p o t
पोतक, p o t a k
पोतड़ा, p o t rr aa
पोतना, p o t n aa
पोता, p o t aa
पोता, p o t aa
पोता, p o t aa
पोता, p o t aa
पोतिया, p o t i y aa
पोतिया, p o t i y aa
पोतिया, p o t i y aa
पोती, p o t ii
पोती, p o t ii
पोथ, p o th
पोथकी, p o th k ii
पोथला, p o th l aa
पोथा, p o th aa
पोथी, p o th ii
पोथी, p o th ii
पोदना, p o d n aa
पोदीना, p o d ii n aa
पोद्दार, p o d d aa r
पोना, p o n aa
पोना, p o n aa
पोना, p o n aa
पोपटा, p o p tt aa
पोपनी, p o p n ii
पोपला, p o p l aa
पोपलाना, p o p l aa n aa
पोमचा, p o m c aa
पोर, p o r
पोरवा, p o r v aa
पोरवाल, p o r v aa l
पोरा, p o r aa
पोरी, p o r ii
पोरुआ, p o r u aa
पोल, p o l
पोल, p o l
पोल, p o l
पोला, p o l aa
पोला, p o l aa
पोलापन, p o l aa p a n
पोली, p o l ii
पोशाक, p o sh aa k
पोशाकी, p o sh aa k ii
पोशीदगी, p o sh ii d @ g ii
पोशिदा, p o sh ii d aa
पोष, p o sh
पोष-, p o sh -
पोषक, p o sh a k
पोषकत्व, p o sh a k a t v @
पोषण, p o sh a n
पोषणीय, p o sh @ n ii y @
पोषयिता, p o sh a y i t aa
पोषित, p o sh i t
पोष्य, p o sh y @
पोस, p o s
पोसना, p o s n aa
पोस्त, p o s t
पोस्ता, p o s t aa
पोस्ती, p o s t ii
पोस्तीन, p o s t ii n
पोह, p o h
पोहा, p o h aa
पोहा, p o h aa
पौंगी, p O ng g ii
पौंचा, p O n c aa
पौंड, p O n dd
पौंडा, p O n dd aa
पौ, p O
पौ, p O
पौ, p O
पौगंड, p O g a n dd
पौड़ी, p O rr ii
पौढना, p O rrh n aa
पौढ़ना, p O rrh aa
पौढ़ाना, p O rrh aa n aa
पौत्तलिक, p O t t a l i k
पौत्र, p O t r
पौत्रिक, p O t r i k
पौत्री, p O t r ii
पौद, p O d
पौदा, p O d aa
पौध, p O dh
पौधा, p O dh aa
पौधेला, p O dh e l aa
पौन, p O n
पौन, p O n
पौना, p O n aa
पौना, p O n aa
पौनी, p O n ii
पौर, p O r
पौर, p O r
पौरा, p O r aa
पौरव, p O r a v
पौरा, p O r aa
पौराणिक, p O r aa n i k
पौरीया, p O r i y aa
पौरी, p O r ii
पौरी, p O r ii
पौरुष, p O r u sh
पौरुषता, p O r u sh @ t aa
पौरुषीय, p O r u sh ii y @
पौरुषेय, p O r u sh e y @
पौरुष्य, p O r u sh y @
पौरोहित्य, p O r o h i t y @
पौर्णमासी, p O r n m aa s ii
पौर्वात्य, p O r v aa t y @
पौर्विक, p O r v i k
पौल, p O l
पौलिया, p O l i y aa
पौली, p O l ii
पौवा, p O v aa
पौष्टिक, p O sh tt i k
पौष्ण, p O sh n @
पौह, p O h
प्याऊ, p y aa uu
प्याज़, p y aa z
प्याज़ी, p y aa z ii
प्यादा, p y aa d aa
प्यार, p y aa r
प्यारा, p y aa r aa
प्याला, p y aa l aa
प्याली, p y aa l ii
प्यास, p y aa s
प्यासा, p y aa s aa
प्यासी, p y aa s ii
प्र-, p r a -
प्रकंप, p r a - k a m p
प्रकंपन, p r a - k a m p a n
प्रकंपित, p r a - k a m p i t
प्रकंपी, p r a - k a m p ii
प्रकट, p r a - k a tt
प्रकटता, p r a - k a tt @ t aa
प्रकटित, p r a - k a tt i t
प्रकटीकरण, p r a - k a tt ii k a r a n
प्रकरण, p r a - k a r a n
प्रकरी, p r a - k a r ii
प्रकर्ष, p r a - k a r sh
प्रकांड, p r a - k aa n dd
प्रकार, p r a - k aa r
प्रकाश, p r a - k aa sh
प्रकाशक, p r a - k aa sh a k
प्रकाशकीय, p r a - k aa sh @ k ii y @
प्रकाशता, p r a - k aa sh @ t aa
प्रकाशन, p r a - k aa sh a n
प्रकाशिकी, p r a - k aa sh i k ii
प्रकाशित, p r a - k aa sh i t
प्रकाश्य, p r a - k aa sh y @
प्रकीर्ण, p r a - k ii r n
प्रकीर्णक, p r a - k ii r n a k
प्रकीर्तन, p r a - k ii r t a n
प्रकीर्ति, p r a - k ii r t i
प्रकीर्तित, p r a - k ii r t i t
प्रकुपित, p r a - k u p i t
प्रकृत, p r a - k r i t
प्रकृतता, p r a k r i t @ t aa
प्रकृति, p r a - k r i t i
प्रकृष्ट, p r a - k r i sh tt
प्रकृष्टता, p r a - k r i sh tt @ t aa
प्रकोप, p r a - k o p
प्रकोपन, p r a - k o p a n
प्रकोपित, p r a - k o p i t
प्रक्रम, p r a - k r a m
प्रक्रिया, p r a - k r i y aa
प्रक्षालन, p r a - k sh aa l a n
प्रक्षालित, p r a - k sh aa l i t
प्रक्षिप्त, p r a - k sh i p t
प्रक्षीण, p r a - k sh ii n
प्रक्षेप, p r a - k sh e p
प्रक्षेपक, p r a - k sh e p a k
प्रक्षेपण, p r a - k sh e p a n
प्रक्षेपित, p r a - k sh e p i t
प्रक्षेप्य, p r a - k sh e p y @
प्रक्षोभण, p r a - k sh o bh a n
प्रखर, p r a - kh a r
प्रखरता, p r a - kh a r @ t aa
प्रख्यात, p r a - kh y aa t
प्रख्याति, p r a - kh y aa t i
प्रख्यान, p r a - kh y aa n
प्रख्यापन, p r a - kh y aa p a n
प्रख्यापित, p r a - kh y aa p i t
प्रगट, p r a g a tt
प्रगट-, p r a - g a tt -
प्रगटाना, p r a g @ tt aa n aa
प्रगटित, p r a g a tt i t
प्रगति, p r a - g a t i
प्रगल्भ, p r a - g a l bh
प्रगल्भता, p r a - g a l bh @ t aa
प्रगाढ़, p r a - g aa rrh
प्रगाढ़ता, p r a - g aa rrh @ t aa
प्रगामी, p r a - g aa m ii
प्रगोपन, p r a - g o p a n
प्रग्रहण, p r a - g r a h a n
प्रघण, p r a - gh a n
प्रचंड, p r a - c a n dd
प्रचंडता, p r a - c a n dd @ t aa
प्रचलन, p r a - c a l a n
प्रचलित, p r a - c a l i t
प्रचार, p r a - c aa r
प्रचार-, p r a - c aa r -
प्रचारक, p r a - c aa r a k
प्रचारण, p r a - c aa r a n
प्रचारिणी, p r a - c aa r i n ii
प्रचारित, p r a - c aa r i t
प्रचारी, p r a - c aa r ii
प्रचुर, p r a c u r
प्रचुरता, p r a c u r @ t aa
प्रचोदन, p r a - c o d a n
प्रचोदित, p r a - c o d i t
प्रच्छद, p r a - c ch a d
प्रच्छन्न, p r a - c ch a n n
प्रच्युत, p r a - c y u t
प्रच्युति, p r a - c y u t i
प्रजनन, p r a - j a n a n
प्रजा, p r a - j aa
प्रजात, p r a - j aa t
प्रजायिनी, p r a - j aa y i n ii
प्रजार-, p r a - j aa r -
प्रज्ञ, p r a - g y @
प्रज्ञता, p r a - g y @ t aa
प्रज्ञा, p r a - g y aa
प्रज्ञात, p r a - g y aa t
प्रज्ञान, p r a - g y aa n
प्रज्ञापक, p r a - g y aa p a k
प्रज्वलन, p r a - j v a l a n
प्रज्वलितं, p r a - j v a l i t
प्रण, p r a n
प्रणत, p r a - n a t
प्रणति, p r a - n a t i
प्रणना, p r a n n aa
प्रणय, p r a - n a y
प्रणयन, p r a - n a y a n
प्रणयिनी, p r a - n a y i n ii
प्रणयी, p r a - n a y ii
प्रणव, p r a - n a v
प्रणाद, p r a - n aa d
प्रणाम, p r a - n aa m
प्रणाल, p r a - n aa l
प्रणालिका, p r a - n aa l i k aa
प्रणाली, p r a - n aa l ii
प्रणिधान, p r a - n i - dh aa n
प्रणिपात, p r a - n i - p aa t
प्रणी, p r a n ii
प्रणीत, p r a - n ii t
प्रणेता, p r a - n e t aa
प्रणोदन, p r a - n o d a n
प्रताड़ना, p r a - t aa rr @ n aa
प्रतान, p r a - t aa n
प्रताप, p r a - t aa p
प्रतापी, p r a - t aa p ii
प्रतारक, p r a - t aa r a k
प्रतारण, p r a - t aa r a n
प्रतारणा, p r a - t aa r @ n aa
प्रतारित, p r a - t aa r i t
प्रति, p r a t i
प्रतिकर, p r a t i - k a r
प्रतिकरण, p r a t i - k a r a n
प्रतिकर्म, p r a t i - k a r m
प्रतिकर्मक, p r a t i - k a r m a k
प्रतिकार, p r a t i - k aa r
प्रतिकारक, p r a t i - k aa r a k
प्रतिकारी, p r a t i - k aa r ii
प्रतिकार्य, p r a t i - k aa r y @
प्रतिकूल, p r a t i - k uu l
प्रतिकूलता, p r a t i - k uu l @ t aa
प्रतिकृति, p r a t i - k r i t i
प्रतिक्रम, p r a t i - k r a m
प्रतिक्रियक, p r a t i - k r i y a k
प्रतिक्रिया, p r a t i - k r i y aa
प्रतिक्षण, p r a t i - k sh a n
प्रतिगामी, p r a t i - g aa m ii
प्रतिगृहीत, p r a t i - g r i h ii t
प्रतिग्रह, p r a t i - g r a h
प्रतिग्रहण, p r a t i - g r a h a n
प्रतिग्राहक, p r a t i - g r aa h a k
प्रतिघात, p r a t i - gh aa t
प्रतिघाती, p r a t i - gh aa t ii
प्रतिचिंतन, p r a t i - c i n t a n
प्रतिच्छवि, p r a t i - c ch a v i
प्रतिच्छायित, p r a t i - c ch aa y i t
प्रतिछाया, p r a t i - ch aa y aa
प्रतिजीव, p r a t i - j ii v
प्रतिजीवन, p r a t i - j ii v a n
प्रतिज्ञा, p r a t i - g y aa
प्रतिज्ञात, p r a t i - g y aa t
प्रतिदत्त, p r a t i - d a t t
प्रतिदान, p r a t i - d aa n
प्रतिदिन, p r a t i - d i n
प्रतिद्वंद्व, p r a t i - d v a n d v @
प्रतिद्वंद्विता, p r a t i - d v a n d v i t aa
प्रतिद्वंद्वी, p r a t i - d v a n d v ii
प्रतिध्वनि, p r a t i - dh v a n i
प्रतिध्वनित, p r a t i - dh v a n i t
प्रतिनाद, p r a t i - n aa d
प्रतिनिधि, p r a t i - n i - dh i
प्रतिनिधिक, p r a t i n i dh i k
प्रतिनिधित, p r a t i - n i - dh i t
प्रतिनिधित्व, p r a t i - n i - dh i t v @
प्रतिनियुक्त, p r a t i - n i - y u k t
प्रतिनिर्देशन, p r a t i - n i r - d e sh a n
प्रतिपक्ष, p r a t i - p a k sh
प्रतिपक्षता, p r a t i - p a k sh @ t aa
प्रतिपक्षी, p r a t i - p a k sh ii
प्रतिपत्ति, p r a t i - p a t t i
प्रतिपद, p r a t i - p a d
प्रतिपद्, p r a t i - p a d
प्रतिपदा, p r a t i - p a d aa
प्रतिपन्न, p r a t i - p a n n
प्रतिपादन, p r a t i - p aa d a n
प्रतिपादित, p r a t i - p aa d i t
प्रतिपाद्य, p r a t i - p aa d y @
प्रतिपाल, p r a t i - p aa l
प्रतिपाल-, p r a t i p aa l -
प्रतिपालक, p r a t i - p aa l a k
प्रतिपालन, p r a t i - p aa l a n
प्रतिपालित, p r a t i - p aa l i t
प्रतिपाल्य, p r a t i - p aa l y @
प्रतिपूजक, p r a t i - p uu j a k
प्रतिपूजन, p r a t i - p uu j a n
प्रतिफल, p r a t i - ph a l
प्रतिफलित, p r a t i - ph a l i t
प्रतिबंध, p r a t i - b a n dh
प्रतिबंधक, p r a t i - b a n dh a k
प्रतिबंधित, p r a t i - b a n dh i t
प्रतिबंधी, p r a t i - b a n dh ii
प्रतिबंद्ध, p r a t i - b a d dh
प्रतिबाधक, p r a t i - b aa dh a k
प्रतिबाधन, p r a t i - b aa dh a n
प्रतिबाधित, p r a t i - b aa dh i t
प्रतिबाधी, p r a t i - b aa dh ii
प्रतिबिंब, p r a t i - b i m b
प्रतिबिंबक, p r a t i - b i m b a k
प्रतिबिंबित, p r a t i - b i m b i t
प्रतिबोध, p r a t i - b o dh
प्रतिबोधक, p r a t i - b o dh a k
प्रतिबोधन, p r a t i - b o dh a n
प्रतिबोधित, p r a t i - b o dh i t
प्रतिबोधी, p r a t i - b o dh ii
प्रतिभट, p r a t i - bh a tt
प्रतिभा, p r a t i - bh aa
प्रतिभाग, p r a t i - bh aa g
प्रतिभाव, p r a t i - bh aa v
प्रतिभाषा, p r a t i - bh aa sh aa
प्रतिभास, p r a t i - bh aa s
प्रतिभासन, p r a t i - bh aa s a n
प्रतिभिन्न, p r a t i - bh i n n
प्रतिभू, p r a t i - bh uu
प्रतिभूति, p r a t i - bh uu t i
प्रतिभेद, p r a t i - bh e d
प्रतिभेदन, p r a t i - bh e d a n
प्रतिमा, p r a t i - m aa
प्रतिमान, p r a t i - m aa n
प्रतिमानित, p r a t i - m aa n i t
प्रतिमानीकरण, p r a t i - m aa n ii k a r a n
प्रतिमास, p r a t i - m aa s
प्रतिमासिक, p r a t i - m aa s i k
प्रतिमूर्ति, p r a t i - m uu r t i
प्रतियोग, p r a t i - y o g
प्रतियोगिता, p r a t i - y o g i t aa
प्रतियोगिनी, p r a t i - y o g i n ii
प्रतियोगी, p r a t i - y o g ii
प्रतियोद्धा, p r a t i - y o d dh aa
प्रतिरक्षण, p r a t i - r a k sh a n
प्रतिरक्षा, p r a t i - r a k sh aa
प्रतिरात्र, p r a t i - r aa t r
प्रतिरूप, p r a t i - r uu p
प्रतिरूपक, p r a t i - r uu p a k
प्रतिरूपी, p r a t i - r uu p ii
प्रतिरोध, p r a t i - r o dh
प्रतिरोधक, p r a t i - r o dh a k
प्रतिरोधन, p r a t i - r o dh a n
प्रतिरोधित, p r a t i - r o dh i t
प्रतिरोधी, p r a t i - r o dh ii
