नवीकृत,navīkr̥t
नवीन,navīn
नवीनता,navīnătā
नवीनीकरण,navīnīkaraṇ
नवीभूत,navībhūt
नवेला,navelā
नवेली,navelī
नव्य,navyă
नव्यता,navyătā
नव्वे,navve
नशा,naśā
नशीला,naśīlā
नश्तर,naśtar
नश्वर,naśvar
नश्वरता,naśvarătā
नष्ट,naṣṭ
नष्टत्वा,naṣṭatvā
नष्टि,naṣṭi
नस,nas
नस,nas
नसतालीक़,nastālīq
नसल,nasl
नसली,naslī
नसवार,nasvār
नसहा,nasăhā
नसा,nasā
नसावन,nasāvan
नसी,nasī
नसीब,nasīb
नसीला,nasīlā
नसीला,nasīlā
नसीहत,nasīhat
नसीहा,nasīhā
नसेनी,nasenī
नसैनी,nasainī
नह,nah
नह,nah
नहछू,nahchū
नहन,nahan
नहनी,nahnī
नहन्नी,nahannī
नहर,nahr
नहरनी,naharnī
नहरी,nahrī
नहरुआ,naharuā
नहलवाना,nahalvānā
नहला,nahlā
नहला,nahlā
नहलाई,nahlāī
नहलाना,nahlānā
नहवाना,nahvānā
नहान,nahān
नहाना,nahānā
नहानी,nahānī
नहार,nahār
नहार,nahār
नहारी,nahārī
नहारवा,nahārvā
नहिं,nahiṁ
नहि,nahi
नहिन,nahin
नहीं,nahīṁ
नहूसत,nahūsat
नहेरना,nahernā
नहोत,nahot
नाँगल,nāṁgal
नाँघ,nāṁgh
नांठ,nāṁṭh
नांठा,nāṁṭhā
नांद,nāṁd
नांद,nāṁd
नांदिया,nāṁdiyā
नांदी,nāndī
नाँव,nāṁv
ना,nā
ना,nā
ना,nā
ना,nā
नाइन,nāin
नाइब,nāib
नाईं,nāīṁ
नाई,nāī
नाऊँ,nāūṁ
नाऊ,nāū
नाक,nāk
नाक,nāk
नाकड़ा,nākṛā
नाका,nākā
नाका,nākā
नाक़िस,nāqis
नाकी,nākī
नाकी,nākī
नाकू,nākū
नाक्षत्र,nākṣatră
नाख़ून,nākhun
नाख़ुना,nākhunā
नाख़ून,nākhūn
नाग,nāg
नागन,nāgan
नागर,nāgar
नागरिक,nāgărik
नागरिकता,nāgarikătā
नागरिका,nāgărikā
नागरी,nāgărī
नागल,nāgal
नागा,nāgā
नाग़ा,nāgā
नागिन,nāgin
नागी,nāgī
नागी,nāgī
नागेसरी,nāgesărī
नागेसरी,nāgesărī
नागौरी,nāgaurī
नाच,nāc
नाचना,nācnā
नाचनी,nācnī
नाज,nāj
नाज़,nāz
नाज़िम,nāzim
नाज़िर,nāzir
नाज़ुक,nāzuk
नाजो,nājo
नाट,nāṭ
नाट,nāṭ
नाट,nāṭ
नाटक,nāṭak
नाटकत्व,nāṭakatvă
नाटकिया,nāṭăkiyā
नाटकी,nāṭăkī
नाटकी,nāṭakī
नाटकीय,nāṭăkīyă
नाटा,nāṭā
नाटापन,nāṭāpan
नाटिका,nāṭikā
नाटय,nāṭyă
नाठ,nāṭh
नाठा,nāṭhā
नाड़,nāṛ
नाड़ा,nāṛā
नाड़ी,nāṛī
नातरु,nātaru
नाता,nātā
नातिन,nātin
नाती,nātī
नाथ,nāth
नाथ,nāth
नाथता,nāthătā
नाथत्व,nāthatvă
नाथना,nāthnā
नाद,nād
नादान,nādān
नादिम,nādim
नादिर,nādir
नादिरशाही,nādirśāhī
नादी,nādī
नाध,nādh
नान,nān
नानक,nānak
नानकिया,nānăkiyā
नानकीन,nānkīn
नानस,nānas
नानसरा,nānasrā
नाना,nānā
नाना,nānā
नानात्व,nānātvă
नानियाल,nāniyāl
नानिहाल,nānihāl
नानी,nānī
नानुकर,nānukar
नान्ह,nānh
नान्ह,nānh
नाप,nāp
नापना,nāpnā
नापित,nāpit
नाफ़,nāf
नाभि,nābhi
नाभिक,nābhik
नाभिकीय,nābhikīyă
नाभ्य,nābhyă
नाम ,nām
नामक,nāmak
नामन,nāman
नामा,nāmā
नामी,nāmī
नामे,nāme
नाम्नी,nāmnī
नायक,nāyak
नायकत्व,nāyakatvă
नायन,nāyan
नायब,nāyab
नायबी,nāybī
नायिका,nāyikā
नारंग,nāraṅg
नारंगी,nāraṅgī
नार,nār
नार,nār
नार,nār
नारक,nārak
नारकी,nārăkī
नारकीय,nārăkīyă
नारद,nārad
नारा,nārā
नाराच,nārāc
नाराज़,nārāz
नारायण,nārāyaṇ
नारायणी,nārāyăṇī
नारिकेल,nārikel
नारियल,nāriyal
नारियली,nāriyalī
नारी,nārī
नारीत्व,nārītvă
नाल,nāl
नाल,nāl
नालकी,nālkī
नाला,nālā
नाला,nālā
नालिश,nāliś
नाली,nālī
नाव,nāv
नाव,nāv
नावक,nāvak
नावक,nāvak
नाविक,nāvik
नाश,nāś
नाशक,nāśak
नाशन,nāśan
नाशपाती,nāśpātī
नाशित,nāśit
नाशी,nāśī
नाश्ता,nāśtā
नाश्य,nāśyă
नाष,nāṣ
नास,nās
नास,nās
नास,nās
नासपाल,nāspāl
नासपाली,nāspālī
नासा,nāsā
नासिका,nāsikā
नासी,nāsī
नासूर,nāsūr
नास्तिक,nāstik
नास्तिकता,nāstikătā
नास्तिक्य,nāstikyă
नास्तिवाद,nāstivād
नास्य,nāsyă
नाह,nāh
नाहनूह,nāhnūh
नाहर,nāhar
नाहिं,nāhiṁ
नाहीं,nāhīṁ
निंद,niṁd
निंदक,nindak
निंदन,nindan
निंदनीय,nindănīyă
निंदनीयता,nindănīyătā
निंदर,niṁdar
निंदरिया,niṁdariyā
निंदा,nindā
निंदाई,niṁdāī
निंदास,nindās
निंदासा,nindāsā
निंदित,nindit
निंदैल,nindail
निंद्य,nindyă
निंद्रा,nindrā
निंब,nimb
निंबू,nimbū
निंबोली,nimbolī
निः,niḥ
निःशंक,niḥśaṅk
निःशक्त,niḥśakt
निःशब्द,niḥśabd
निःशस्त्र,niḥśastră
निःशील,niḥśīl
निःशुल्क,niḥśulk
निःशून्य,niḥśūnyă
निःशेष,niḥśeṣ
निःश्वास,niḥśvās
निःसंकोच,niḥsaṅkoc
निःसंख्य,niḥsaṅkhyă
निःसंग,niḥsaṅg
निःसंदेह,niḥsandeh
निःसंधि,niḥsandhi
निःसंशय,niḥsaṃśay
निःसत्य,niḥsatyă
निःसरण,niḥsaraṇ
निःसार,niḥsār
निःसीम,niḥsīm
निःसृत,niḥsr̥t
निःस्पृह,niḥspr̥h
निःस्पृहता,niḥspr̥hătā
निःसृत,niḥsr̥t
निःस्त्राव,niḥsrāv
निःस्व,niḥsvă
निःस्वार्थ,niḥsvârth
निःस्वीकरण,niḥsvīkaraṇ
नि,ni
निकंद,nikand
निकंदन,nikandan
निकट,nikaṭ
निकटता,nikaṭătā
निकटत्व,nikaṭatvă
निकटपना,nikaṭpanā
निकटी,nikaṭī
निकती,niktī
निकम्मा,nikammā
निकर,nikar
निकलना,nikalnā
निकलवाना,nikalvānā
निकष,nikaṣ
निकषण,nikaṣaṇ
निकस,nikas
निकाई,nikāī
निकाई,nikāī
निकाना,nikānā
निकाम,nikām
निकाम,nikām
निकाय,nikāy
निकाल,nikāl
निकालना,nikālnā
निकास,nikās
निकास,nikās
निकासी,nikāsī
निकाह,nikāh
निकिष्ट,nikiṣṭ
निकुंज,nikuñ
निकुंभला,nikumbhălā
निकृत,nikr̥t
निकृति,nikr̥ti
निकृष्ट,nikr̥ṣṭ
निकृष्टता,nikr̥ṣṭătā
निकेत,niket
निकेतन,niketan
निकोटना,nikoṭnā
निकोसना,nikosnā
निकौड़िया,nikauṛiyā
निक्षिप्त,nikṣipt
निक्षेप,nikṣep
निक्षेपक,nikṣepak
निक्षेपण,nikṣepaṇ
निक्षेपता,nikṣepătā
निक्षेपित,nikṣepit
निक्षोभ,nikṣobh
निखंड,nikhaṇḍ
निखट्टू,nikhaṭṭū
निखद,nikhad
निखरना,nikharnā
निखरवाना,nikharvānā
निखराना,nikhrānā
निखार,nikhār
निखारना,nikhārnā
निखिल,nikhil
निखुटना,nikhuṭnā
निखेद,nikhed
निखेदित,nikhedit
निखोट,nikhoṭ
निखोड़ना,nikhoṛnā
निखोड़ा,nikhoṛā
निगंदना,nigandnā
निगंदा,nigandā
निगंदाई,nigandāī
निगड़,nigaṛ
निगद,nigad
निगम,nigam
निगमन,nigaman
निगमी,nigămī
निगर,nigar
निगरा,nigrā
निगरान,nigarān
निगरानी,nigrānī
निगलना,nigalnā
निगह,nigah
निगाल,nigāl
निगाली,nigālī
निगाह,nigāh
निगुन,nigun
निगुनी,nigunī
निगुरा,nigurā
निगूढ़,nigūṛh
निगोड़ा,nigoṛā
निग्गर,niggar
निग्रह,nigrah
निग्रह,nigrah
निग्रहण,nigrahaṇ
निग्रही,nigrahī
निघंटु,nighaṇṭu
निघट,nighaṭ
निघरा,nigharā
निघर्षण,nigharṣaṇ
निघात,nighāt
निचड़ना,nicaṛnā
निचय,nicay
निचला,niclā
निचला,niclā
निचाई,nicāī
निचान,nicān
निचास,nicās
निचिंत,nicint
निचीतौ,nicītau
निचुड़ना,nicuṛnā
निचुड़वाना,nicuṛvānā
निचोड़,nicoṛ
निचोड़ना,nicoṛnā
निचोड़ू,nicoṛū
निचोल,nicol
निचौह,nicauh
निछत्र,nichatr
निछनियाँ,nichaniyāṁ
निछावर,nichāvar
निछावरि,nichāvari
निज,nij
निज़ा,nizā
निजात,nijāt
निज़ाम,nizām
निज़ामत,nizāmat
निज़ार,nizār
निजी,nijī
निझर,nijhar
निझर,nijhar
निझरना,nijharnā
निझा,nijhā
निझोटना,nijhoṭnā
निठल्ला,niṭhallā
निठल्लापन,niṭhallāpan
निठल्लू,niṭhallū
निठाला,niṭhālā
निठुर,niṭhur
निठुरता,niṭhurtā
निठुराई,niṭhurāī
निठौर,niṭhaur
निडर,niḍar
निडरता,niḍartā
निडरपन,niḍarpan
निडरपना,niḍarpanā
निढाल,niḍhāl
निढालपन,niḍhālpan
नित,nit
नितंब,nitamb
नितंबिनी,nitambinī
नितांत,nitānt
नित्ता,nittā
ऩित्य,nitya
नित्यता,nityătā
निथरना,nitharnā
निथार,nithār
निथारना,nithārnā
निदर,nidar
निदर्शन,nidarśan
निदर्शनी,nidarśanī
निदर्शित,nidarśit
निदाई,nidāī
निदाघ,nidāgh
निदान,nidān
निदाना,nidānā
निदिग्ध,nidigdh
निदिष्ट,nidiṣṭ
निदेश,nideś
निदेशक,nideśak
निदेशन,nideśan
निदेशिका,nideśikā
निद्रा,nidrā
निद्रालु,nidrālu
निद्रालुता,nidrālutā
निद्रित,nidrit
निधड़क,nidhaṛak
निधन,nidhan
निधनी,nidhanī
निधान,nidhān
निधि,nidhi
निधुवन,nidhuvan
निधेय,nidhey
निन,nin
निनाद,ninād
निनादित,ninādit
निनादी,ninādī
निनानवे,ninānve
निनावाँ,nināvāṁ
निन्यानवे,ninyānve
निपट,nipaṭ
निपटना,nipaṭnā
निपटान,nipṭān
निपटाना,nipṭānā
निपटारा,nipṭārā
निपटारू,nipṭārū
निपटाव,nipṭāv
निपटेरा,nipṭerā
निपठ,nipaṭh
निपतन,nipatan
निपतित,nipatit
निपात,nipāt
निपात,nipāt
निपात,nipāt
निपातक,nipātak
निपातन,nipātan
निपातित,nipātit
निपाती,nipātī
निपुण,nipuṇ
निपुणता,nipuṇătā
निपुणत्व,nipuṇatvă
निपुनाई,nipunāī
निपूत,nipūt
निपूता,nipūtā
निपेटौ,nipeṭau
निपोड़ना,nipoṛnā
निफ़ाक़,nifāq
निबंध,nibandh
निबंधन,nibandhan
निबंधनी,nibandhănī
निबंधित,nibandhit
निबंधी,nibandhī
निबटना,nibaṭnā
निबटाना,nibṭānā
निबटारा,nibṭārā
निबटाव,nibṭāv
निबटेरा,nibṭerā
निबद्ध,nibaddh
निबल,nibal
निबहना,nibahnā
निबाह,nibāh
निबाहना,nibāhnā
निबुक,nibuk
निबेड़ना,nibeṛnā
निबेर,niber
निबेरा,niberā
निबौरी,nibaurī
निभ,nibh
निभना,nibhnā
निभाना,nibhānā
निभाव,nibhāv
निभृत,nibhr̥t
निमंत्रक,nimantrak
निमंत्रण,nimantraṇ
निमंत्रित,nimantrit
निमक,nimak
निमकी,nimkī
निमकौड़ी,nimkauṛī
निमछड़ा,nimchaṛā
निमता,nimtā
निमाणी,nimāṇī
निमाना,nimānā
निमित्त,nimitt
निमित्तक,nimittak
निमित्तता,nimittătā
निमित्ती,nimittī
निमिलिका,nimilikā
निमिष,nimiṣ
निमीलन,nimīlan
निमीली,nimīlī
निमुछिया,nimuchiyā
निमुहाँ,nimuhāṁ
निमेष,nimeṣ
निमोना,nimonā
निमौनी,nimaunī
निम्न,nimn
निम्नतम,nimnătam
निम्नता,nimnătā
निम्मन,nimman
नियंता,niyantā
नियंत्रक,niyantrak
नियंत्रण,niyantraṇ
नियंत्रित,niyantrit
नियत,niyat
नियत,niyat
नियतन,niyatan
नियति,niyati
नियम,niyam
नियमन,niyaman
नियमित,niyamit
नियमी,niyamī
नियर,niyar
नियरा,niyarā
नियराई,niyarāī
नियरे,niyare
नियाज़,niyāz
नियादर,niyādar
नियामक,niyāmak
नियामकता,niyāmakătā
नियामत,niyāmat
नियार,niyār
नियारा,niyārā
नियुक्त,niyukt
नियुक्ति,niyukti
नियुद्ध,niyuddh
नियोक्ता,niyoktā
नियोग,niyog
नियोगी,niyogī
नियोजक,niyojak
नियोजन,niyojan
नियोजित,niyojit
नियोज्य,niyojyă
नियोद्धा,niyoddhā
निर्,nir
निरंकार,niraṅkār
निरंकुश,niraṅkuś
निरंकुशता,niraṅkuśătā
निरंजन,nirañan
निरंतर,nirantar
निरंध,nirandh
निरंबु,nirambu
निरंभ,nirambh
निरंस,niraṃs
निरक्ष,nirakṣ
निरक्षर,nirakṣar
निरक्षरता,nirakṣarătā
निरख़,nirḵẖ
निरखना,nirakhnā
निरखी,nirkhī
निरचू,nircū
निरजोस,nirjos
निरत,nirat
निरति,nirati
निरदहनी,nirdahănī
निरधार,nirdhār
निरधार,nirdhār
निरन्न,nirann
निरन्ना,nirannā
निरन्वय,niranvay
निरपराध,nirapărādh
निरपराधी,nirapărādhī
निरपवाद,nirapăvād
निरपेक्ष,nirăpêkṣ
निरपेक्षता,nirăpêkṣătā
निरपेक्षा,nirăpêkṣā
निरपेक्षित,nirăpêkṣit
निरपेक्षी,nirăpêkṣī
निरबाह,nirbāh
निरबिसी,nirbisī
निरबैना,nirbainā
निरभ्र,nirabhră
निरमा,nirmā
निरमोल,nirmol
निरर्थक,nirarthak
निरवनीकरण,nirvanīkaraṇ
निरवलंब,niravălamb
निरस,niras
निरसन,nirasan
निरसा,nirasā
निरस्त,nirast
निरस्त्र,nirastră
निरहंकार,nirahaṅkār
निरा,nirā
निरा,nirā
निराई,nirāī
निराकरण,nirākaraṇ
निराकांक्ष,nirākāṅkṣ
निराकांक्षा,nirākāṅkṣā
निराकांक्षी,nirākāṅkṣī
निराकार,nirākār
निराकृत,nirākr̥t
निराकृति,nirākr̥ti
निराघात,nirāghāt
निराचार,nirācār
निरादर,nirādar
निरादृत,nirādr̥t
निरादेश,nirādeś
निराधार,nirādhār
निरापद,nirāpad
निरापदता,nirāpadătā
निरामय,nirāmay
निरामिष,nirāmiṣ
निरामिषी,nirāmiṣī
निरायास,nirāyās
निरायुध,nirāyudh
निरालंब,nirālaṁb
निरालस्य,nirālasyă
निराला,nirālā
निरालापन,nirālāpan
निरावरण,nirāvăraṇ
निराश,nirāś
निराशा,nirāśā
निराशिष,nirāśiṣ
निराशी,nirāśī
निराश्रय,nirāśray
निराश्रित,nirāśrit
निरास,nirās
निरासी,nirāsī
निराहार,nirāhār
निरीक्षक,nirīkṣak
निरीक्षण,nirīkṣaṇ
निरीक्षा,nirīkṣā
निरीक्षित,nirīkṣit
निरीक्ष्य,nirīkṣyă
निरीखना,nirīkhnā
निरीह,nirīh
निरीहता,nirīhătā
निरुक्त,nirukt
निरुक्ति,nirukti
निरुत्तर,niruttar
निरुत्साह,nirutsāh
निरुत्साहित,nirutsāhit
निरुद्देश्य,niruddeśyă
निरुद्ध,niruddh
निरुद्यम,nirudyam
निरुद्यमी,nirudyamī
निरुद्योग,nirudyog
निरुपद्रव,nirupădrav
निरुपम,nirupam
निरुपमित,nirupămit
निरुपाधि,nirupâdhi
निरुपाय,nirupây
निरुवर,niruvar
निरुवार,niruvār
निरुवार,niruvār
निरूप,nirūp
निरूपक,nirūpak
निरूपण,nirūpaṇ
निरूपित,nirūpit
निरूप्य,nirūpyă
निर्ऋति,nirr̥ti
निरेख,nirekh
निरोग,nirog
निरोगी,nirogī
निरोगीपन,nirogīpan
निरोध,nirodh
निरोधक,nirodhak
निरोधन,nirodhan
निरोधी,nirodhī
निरौषध,nirauṣadh
निर्गंध,nirgandh
निर्गत,nirgat
निर्गम,nirgam
निर्गम,nirgam
निर्गमन,nirgaman
निर्गमित,nirgamit
निर्गुंडी,nirguṇḍī
निर्गुट,nirguṭ
निर्गुटता,nirguṭătā
निर्गुण,nirguṇ
निर्गुणता,nirguṇătā
निर्गुणिया,nirguṇiyā
निर्गुणी,nirguṇī
निर्घंट,nirghaṇṭ
निर्घृण,nirghr̥ṇ
निर्जन,nirjan
निर्जल,nirjal
निर्जला,nirjalā
निर्जलित,nirjalit
निर्जीव,nirjīv
निर्जीवन,nirjīvan
निर्झर,nirjhar
निर्णय,nirṇay
निर्णयन,nirṇayan
निर्णायक,nirṇāyak
निर्णीत,nirṇīt
निर्दय,nirday
निर्दयता,nirdayătā
निर्दयी,nirdayī
निर्दिष्ट,nirdiṣṭ
निर्दिष्टि,nirdiṣṭi
निर्देश,nirdeś
निर्देशक,nirdeśak
निर्देशन,nirdeśan
निर्देशिका,nirdeśikā
निर्देशित,nirdeśit
निर्दोष,nirdoṣ
निर्दोषता,nirdoṣătā
निर्दोषिता,nirdoṣitā
निर्दोषी,nirdoṣī
निर्द्वंद्व,nirdvandvă
निर्धन,nirdhan
निर्धनता,nirdhanătā
निर्धारण,nirdhāraṇ
निर्धारित,nirdhārit
निर्धार्य,nirdhāryă
निर्धूत,nirdhūt
निर्निमेष,nirnimeṣ
निर्पक्ष,nirpakṣ
निर्फल,nirphal
निर्बंध,nirbandh
निर्बंधन,nirbandhan
निर्बल,nirbal
निर्बलता,nirbalătā
निर्बाध,nirbādh
निर्बीज,nirbīj
निर्बीजन,nirbījan
निर्बुद्धि,nirbuddhi
निर्बुद्धिता,nirbuddhitā
निर्बोध,nirbodh
निर्भय,nirbhay
निर्भयता,nirbhayătā
निर्भर,nirbhar
निर्भरता,nirbharătā
निर्भीक,nirbhīk
निर्भ्रम,nirbhram
निर्भ्रांत,nirbhrānt
निर्मम,nirmam
निर्ममता,nirmamătā
निर्मल,nirmal
निर्मांस,nirmāṃs
निर्माण,nirmāṇ
निर्माता,nirmātā
निर्मायक,nirmāyak
निर्माल्य,nirmālyă
निर्मित,nirmit
निर्मिति,nirmiti
निर्मुक्त,nirmukt
निर्मूल,nirmūl
निर्मूलन,nirmūlan
निर्मेघ,nirmegh
निर्मोह,nirmoh
निर्मोहिया,nirmohiyā
निर्मोही,nirmohī
निर्यात,niryāt
निर्यातक,niryātak
निर्यान,niryān
निर्यूथ,niryūth
निर्लज्ज,nirlajj
निर्लज्जता,nirlajjătā
निर्लिप्त,nirlipt
निर्लेप,nirlep
निर्लोभ,nirlobh
निर्वंश,nirvaṃś
निर्वंशी,nirvaṃśī
निर्वनीकरण,nirvanīkaraṇ
निर्वस्त्र,nirvastră
निर्वाक्,nirvāk
निर्वाचक,nirvācak
निर्वाचकता,nirvācakătā
निर्वाचन,nirvācan
निर्वाचित,nirvācit
निर्वाच्य,nirvācyă
निर्वाण,nirvāṇ
निर्वात,nirvāt
निर्वाद,nirvād
निर्वापित,nirvāpit
निर्वासन,nirvāsan
निर्वासित,nirvāsit
निर्वाह,nirvāh
निर्वाहक,nirvāhak
निर्वाहन,nirvāhan
निर्विकल्प,nirvikalp
निर्विकार,nirvikār
निर्विघ्न,nirvighnă
निर्विघ्नता,nirvighnătā
निर्विधायन,nirvidhāyan
निर्विधायित,nirvidhāyit
निर्विभाग,nirvibhāg
निर्विवाद,nirvivād
निर्विवेक,nirvivek
निर्विवेकता,nirvivekătā
निर्विषी,nirviṣī
निर्वृत्त,nirvr̥tt
निर्वृत्ति,nirvr̥tti
निर्वेद,nirved
निर्वैर,nirvair
निर्वैरता,nirvairătā
निर्व्यलीक,nirvyalīk
निर्व्याज,nirvyāj
निर्हेतु,nirhetu
निलंबन,nilamban
निलंबित,nilambit
निलज,nilaj
निलजई,nilajaī
निलजता,nilajătā
निलज्ज,nilajj
निलज्जा,nilajjā
निलज्जा,nilajjā
निलय,nilay
निलोह,niloh
निवर्तमान,nivartămān
निवस,nivas
निवसन,nivasan
निवसन,nivasan
निवह,nivah
निवाई,nivāī
निवाड़,nivāṛ
निवान,nivān
निवाना,nivānā
निवाया,nivāyā
निवार,nivār
निवार,nivār
निवार,nivār
निवार,nivār
निवारक,nivārak
निवारण,nivāraṇ
निवारित,nivārit
निवारी,nivārī
निवार्य,nivāryă
निवाला,nivālā
निवास,nivās
निवास,nivās
निवासन,nivāsan
निवासित,nivāsit
निवासिनी,nivāsinī
निवासी,nivāsī
निविड़,niviṛ
निविदा,nividā
निवृत्त,nivr̥tt
निवृत्ति,nivr̥tti
निवेदन,nivedan
निवेदित,nivedit
निवेश,niveś
निश्,niś
निशब्द,niśabd
निशांत,niśānt
निशा,niśā
निशा,niśā
निशान,niśān
निशानची,niśāncī
निशाना,niśānā
निशानी,niśānī
निशास्ता,niśāstā
निशि,niśi
निशित,niśit
निशीथ,niśīth
निश्चय,niścay
निश्चययन,niścayan
निश्चयेन,niścayenă
निश्चल,niścal
निश्चला,niścalā
निश्चायक,niścāyak
निश्चिंत,niścint
नीश्चिंतता,niścintătā
निश्चित,niścit
निश्चिति,niściti
निश्चेतन,niścetan
निश्चेष्ट,niśceṣṭ
निश्चेष्टता,niśceṣṭătā
निश्चेष्टा,niśceṣṭā
निश्छल,niśchal
निश्रेयस,niśreyas
नियश्वास,niśvās
निष्,niṣ
निषंग,niṣaṅg
निषंगी,niṣaṅgī
निषध,niṣadh
निषाद,niṣād
निषिद्ध,niṣiddh
निषिद्धता,niṣiddhătā
निषिद्धि,niṣiddhi
निषेचन,niṣecan
निषेक,niṣek
निषेध,niṣedh
निषेधक,niṣedhak
निषेधन,niṣedhan
निषेधित,niṣedhit
निषेधी,niṣedhī
निष्क,niṣk
निष्कंटक,niṣkaṇṭak
निष्कपट,niṣkapaṭ
निष्कपंटता,niṣkapaṭătā
निष्कपटी,niṣkapăṭī
निष्कर,niṣkar
निष्कर्ष,niṣkarṣ
निष्कलंक,niṣkalaṅk
निष्कलंकित,niṣkalaṅkit
निष्कलंकी,niṣkalaṅkī
निष्काम,niṣkām
निष्कारण,niṣkāraṇ
निष्कास,niṣkās
निष्कासन,niṣkāsan
निष्कासित,niṣkāsit
निष्कीटक,niṣkīṭak
निष्कीटन,niṣkīṭan
निष्कीटित,niṣkīṭit
निष्कृत,niṣkr̥t
निष्कृति,niṣkr̥ti
निष्कृष्ट,niṣkr̥ṣṭ
निष्क्रम,niṣkram
निष्क्रमण,niṣkramaṇ
निष्क्रय,niṣkray
निष्क्रांत,niṣkrānt
निष्क्रामित,niṣkrāmit
निष्क्रिय,niṣkriy
निष्क्रियता,niṣkriyătā
निष्ठ,niṣṭh
निष्ठा,niṣṭhā
निष्ठान,niṣṭhān
निष्ठित,niṣṭhit
निष्ठुर,niṣṭhur
निष्ठुरता,niṣṭhurătā
निष्णात,niṣṇāt
निष्पक्ष,niṣpakṣ
निष्पक्षता,niṣpakṣătā
निष्पत्ति,niṣpatti
निष्पन्न,niṣpann
निष्पलक,niṣpalak
निष्पादक,niṣpādak
निष्पादन,niṣpādan
निष्पादित,niṣpādit
निष्पाप,niṣpāp
निष्पापता,niṣpāpătā
निष्पाव,niṣpāv
निष्पुत्र,niṣputr
निष्पुरुष,niṣpuruṣ
निष्प्रकारक,niṣprakārak
निष्प्रभ,niṣprabh
निष्प्रभवता,niṣprabhavătā
निष्प्रमाण,niṣpramāṇ
निष्प्रयोजन,niṣprayojan
निष्प्राण,niṣprāṇ
निष्फल,niṣphal
निष्फलता,niṣphalătā
निष्फला,niṣphalā
निष्फली,niṣphalī
निस्,nis
निसंठ,nisaṁṭh
निस,nis
निसक,nisak
निसबत,nisbat
निसबतन,nisbatan
निसर्ग,nisarg
निसाँस,nisāṁs
निसाँसी,nisāṁsī
निसार,nisār
निसार,nisār
निसावरा,nisāvrā
निसास,nisās
निसुख,nisukh
निसेनी,nisenī
निसोता,nisotā
निसोथ,nisoth
निस्तनद्र,nistandră
निस्तब्ध,nistabdh
निस्तब्धता,nistabdhătā
निस्तर,nistar
निस्तल,nistal
निस्तार,nistār
निस्तारक,nistārak
निस्तारण,nistāraṇ
निस्तारना,nistārnā
निस्तीर्ण,nistīrṇ
निस्तेज,nistej
निस्तोख,nistokh
निस्पंद,nispand
निस्पृह,nispr̥h
निस्फ़,nisf
निस्फ़ी,nisfī
निस्यंदन,nisyandan
निस्वन,nisvan
निस्संक्रामक,nissaṅkrāmak
निस्संतान,nissantān
निस्सहाय,nissahây
निस्सार,nissār
निस्सारित,nissārit
निहंग,nihaṅg
निहचय,nihcay
निहत्ता,nihattā
निहत्था,nihatthā
निहल,nihal
निहाई,nihāī
निहाउ,nihāu
निहाना,nihānā
निहानी,nihānī
निहानी,nihānī
निहानी,nihānī
निहायत,nihāyat
निहार,nihār
निहारना,nihārnā
निहारी,nihārī
निहाल,nihāl
निहाल,nihāl
निहालचा,nihālcā
निहाली,nihālī
निहाली,nihālī
निहित,nihit
निहुड़,nihuṛ
निहुर,nihur
निहुराना,nihurānā
निहोर,nihor
निहोरा,nihorā
नींद,nīṁd
नींदना,nīṁdnā
नींदी,nīṁdī
नींबू,nīṁbū
नींव,nīṁv
नी,nī
नी,nī
नीक,nīk
नीका,nīkā
नीकौ,nīkau
नीच,nīc
नीचता,nīcătā
नीचपन,nīcpan
नीचा,nīcā
नीचाई,nīcāī
नीचान,nīcān
नीचे,nīce
नीठि,nīṭhi
निठौ,nīṭhau
नीड़,nīṛ
नीत,nīt
नीति,nīti
नीप,nīp
नीपूर,nīpūr
नीबू,nībū
नीम,nīm
नीम,nīm
नीयत,nīyat
नीरंध्र,nīrandhră
नीर,nīr
नीरना,nīrnā
नीरव,nīrav
नीरवता,nīravătā
नीरस,nīras
नीरसता,nīrasătā
नीराँजनी,nīrāṁjănī
नीरा,nīrā
नीरा,nīrā
नीराजन,nīrājan
नीरोग,nīrog
नीरोगता,nīrogătā
नीरोगी,nīrogī
नील,nīl
नील,nīl
नीलक,nīlak
नीलता,nīlătā
नीलम,nīlam
नीला,nīlā
नीला,nīlā
नीलाई,nīlāī
नीलापन,nīlāpan
नीलाम,nīlām
नीलामी,nīlāmī
नीलाहट,nīlāhaṭ
नीलिमा,nīlimā
नीलोपर,nīlopar
नीलोफ़र,nīlofar
नीवि,nīvi
नीवी,nīvī
नीसान,nīsān
नीहार,nīhār
नीहारिका,nīhārikā
नुकटा,nukṭā
नुकता,nuktā
नुक़ता,nuqtā
नुकती,nuktī
नुक़रा,nuqrā
नुक़सान,nuqsān
नुक़सानी,nuqsānī
नुकीला,nukīlā
नुक्कड़,nukkaṛ
नुक्का,nukkā
नुक़्ल,nuql
नुक़्स,nuqs
नुचना,nucnā
नुचवाना,nucvānā
नुमा,numā
नुमाइंदगी,numāindagī
नुमाइंदा,numāindā
नुमाइश,numāiś
नुमाइशी,numāiśī
नुमायान,numāyān
नुसख़ा,nusḵẖā
नुहट्टा,nuhaṭṭā
नूतन,nūtan
नूतनता,nūtanătā
नून,nūn
नूनी,nūnī
नूपुर,nūpur
नूर,nūr
नूर,nūr
नूरानी,nūrānī
नूह,nūh
नृ,nr̥
नृत्य,nr̥tyă
