punjabi,phon
ਜੁਗਣੂ,j u g nn uu
ਜੁਗਤੀ,j u g t ii
ਜੂਹ,j uu h
ਜੁਹਣਾ,j u h a nn aa
ਜੁਹਣਾ,j u h nn aa
ਜੁਹਾਰ,j u h aa r
ਜੁਹੁਦ,j u h u d
ਜੁਹੁਦਾ,j u h u d aa
ਜੁਜਰਦੇਵ,j u j a r v e d
ਜੁਜਾਉਣਾ,j u j aa u nn aa
ਜੁਜਦਾਨ,j u j d aa n
ਜੁਝਾਉਣਾ,j u jh aa u nn aa
ਜੂਝਾਉਣਾ,j uu jh aa u nn aa
ਜੂਝਣਾ,j uu jh nn aa
ਜੁੱਝ,j u j jh
ਜੁਕਲ,j u k a l
ਜੁਕਾਮ,j u k aa m
ਜੁਖਾਮ,j u kh aa m
ਜੁਕਡ਼,j u k a rr
ਜੁਕਡ਼ਣਾ,j u k a rr nn aa
ਜੁਕਡ਼ਜਾਣਾ,j u k a rr j aa nn aa
ਜੁਖਾਈ,j u kh aa ii
ਜੁਖਾਉਣਾ,j u kh aa u nn aa
ਜੁਖਾਣਾ,j u kh aa nn aa
ਜੁਕਿਆਰਾ,j u k i aa r aa
ਜੁਕਿਆਰੀ,j u k i aa r ii
ਜੁਕਿਆਉਣਾ,j u k i aa u nn aa
ਜੁਕਰਣ,j u k r a nn
ਜੁਲ,j u l
ਜੂਲਾ,j uu l aa
ਜੁਲਾਬ,j u l aa b
ਜੁਲਾਬੀ,j u l aa b ii
ਜੁਲਾਹ,j u l aa h
ਜੁਲਾਹਾ,j u l aa h aa
ਜੁਲਾਹੀ,j u l aa h ii
ਜੁਲਕਣਾ,j u l a k nn aa
ਜੁਲਣ,j u l a nn
ਜੁਲਫ,j u l ph
ਜੁਲਫੀ,j u l ph ii
ਜੁਲਫੂ,j u l ph uu
ਜੁਲ੍ਹਕਣਾ,j u l h a k a nn aa
ਜੁਲ੍ਹਕਣਾ,j u l h a k nn aa
ਜੁਲਹਾਲ,j u l h aa l
ਜੁਲੀਆ,j u l ii aa
ਜੁਲਜੁਲਾਟ,j u l j u l aa tt
ਜੁਲਜੁਲਾਉਣਾ,j u l j u l aa u nn aa
ਜੁੱਲ,j u l l
ਜੁੱਲਡ਼,j u l l a rr
ਜੁੱਲਡ਼ਾ,j u l l a rr aa
ਜੁੱਲੁੱਡ਼,j u l l u rr
ਜੁੱਲੁਡ਼ਾ,j u l l u rr aa
ਜੁਲਡ਼ਾ,j u l rr aa
ਜੁੱਲੀ,j u l l ii
ਜੁੱਲਣਾ,j u l l nn aa
ਜੁਲਮ,j u l m
ਜੁਲਮੀ,j u l m ii
ਜੁਲਯਾ,j u l y aa
ਜੁਮਾ,j u m aa
ਜੁਮਾਈ,j u m aa ii
ਜੁਮਾਇਗੀ,j u m aa i g ii
ਜੁਮਾਲਗੋਟਾ,j u m aa l g o tt aa
ਜੁਮੇਰਾਤ,j u m e r aa t
ਜਮੇਰਾਤੀਆ,j u m e r aa t ii aa
ਜੁੱਮਾ,j u m m aa
ਜੂਣ,j uu nn
ਜੂੰ,j uu ng
ਜੁਨਾ,j u n aa
ਜੁਨਾਸ,j u n aa s
ਜੁੰਡ,j u ng dd
ਜੁੰਡੀ,j u ng dd ii
ਜੁੰਗ,j u ng g
ਜੁੰਗਲਾ,j u ng g a l aa
ਜੁੰਗਲੀਗੋਹਾ,j u ng g l ii g o h aa
ਜੁੰਗਲੀਗੋਹਿਆ,g o h i aa
ਜੂਣੀ,j uu nn ii
ਜੁੱਨ,j u n n
ਜੂੰਟ,j uu ng tt
ਜੁੱਫ,j u p ph
ਜੁਰ,j u r
ਜੂਡ਼ਾ,j uu rr aa
ਜੁਡ਼ਾਈ,j u rr aa ii
ਜੁਰਮ,j u r a m
ਜੁਰਾਣਾ,j u rr aa nn aa
ਜੁਰਤ,j u r a t
ਜੁਡ਼ਾਉਣਾ,j u rr aa u nn aa
ਜੂਡ਼ੀ,j uu rr ii
ਜੁਡ਼ਜਾਣਾ,j u rr j aa nn aa
ਜੁਰਮ,j u r m
ਜੁਰਮਾਨਾ,j u r m aa n aa
ਜੁਡ਼ਨ,j u rr n
ਜੁਡ਼ਣਾ,j u rr nn aa
ਜੂਡ਼ਣਾ,j uu rr nn aa
ਜੁੱਰਾ,j u r r aa
ਜੁਡ਼ੁੱਤ,j u rr u t t
ਜੁਡ਼ੁਟੂੰ,j u rr u tt tt uu ng
ਜੁਰਵਾਣਾ,j u r v aa nn aa
ਜੁਸਾਗ,j u s aa g
ਜੁਸਾਂਦਾ,j u s aa ng d aa
ਜੁੱਸਾ,j u s s aa
ਜੁਸਤ,j u s t
ਜੂਤ,j uu t
ਜੂਤ,j uu t
ਜੂਤਾ,j uu t aa
ਜੁਤਾਈ,j u t aa ii
ਜੁਤਾਉਣਾ,j u t aa u nn aa
ਜੂਠ,j uu tth
ਜੂਠਾ,j uu tth aa
ਜੁਠਾਲਣਾ,j u tth aa l nn aa
ਜੁਠਾਉਣਾ,j u tth aa u nn a
ਜੂਠਾਉਣਾ,j uu tth aa u nn aa
ਜੁਤਿਆਉਣਾ,j u t i aa u nn aa
ਜੁਤਣਾ,j u t nn aa
ਜੁਤਡ਼ੀ,j u t rr ii
ਜੁੱਟ,j u tt tt
ਜੁੱਤ,j u t t
ਜੁੱਤਾ,j u t t aa
ਜੁੱਤੀ,j u t t ii
ਜੁੱਤਣਾ,j u t t nn aa
ਜੁਵਾਰ,j u v aa r
ਜੁਵਾਰਣ,j u v aa r a nn
ਜੁਵਾਰੀ,j u v aa r ii
ਜੁਵਾਰੀਆ,j u v aa r ii aa
ਕਾ,k aa
ਕਬ,k a b
ਕਾਬ,k aa b
ਕਾਬ,k aa b
ਕਬਾਬ,k a b aa b
ਕਬਾਬਣ,k a b aa b a nn
ਕਬਾਬੀ,k a b aa b ii
ਕਬਾਬੀਆ,k a b aa aa b ii aa
ਕਬਾਬੀ,k a b aa b ii
ਕਬਾਬਚੀ,k a b aa b c ii
ਕਬਾਦਾ,k a b aa d aa
ਕਬੱਡ,k a b a dd dd
ਕਬੱਡੀ,k a b a dd dd ii
ਕਾਬਹ,k aa b a h
ਕਬਾਹਤ,k a b aa h a t
ਕਬਾਹਤਣ,k a b aa h a t a nn
ਕਬਾਹਤੀ,k a b aa h a t ii
ਕਬਜ,k a b a j
ਕਾਬਲ,k aa b a l
ਕਬਾਲ,k a b aa l
ਕਾਬਲੀ,k aa b a l ii
ਕਬਰ,k a b a r
ਕਬਾਡ਼ਾ,k a b aa rr aa
ਕੱਬ,k a b b
ਕਬਾੱ,k a b b aa
ਕਬਿ,k a b i
ਕਬੀ,k a b ii
ਕਬੀਲਾ,k a b ii l aa
ਕਬੀਲਦਾਰ,k a b ii l d aa r
ਕਬੀਲਦਾਰੀ,k a b ii l d aa r ii
ਕਬੀਲਅਤ,k a b l ii a t
ਕਬਲੀਤ,k a b l ii t
ਕਾਬਲੀਤ,k aa b l ii t
ਕਬੀਰ,k a b ii r
ਕਬੀਸਰ,k a b ii s a r
ਕਬੀਸਰੀ,k a b ii s a r ii
ਕਬਿਤਾ,k a b i t aa
ਕਬਿੱਤ,k a b i t t
ਕਬਜਾ,k a b j aa
ਕਬਜੀ,k a b j ii
ਕਬਜੀਅਤ,k a b j ii a t
ਕਬਜੀਤ,k a b j ii t
ਕਬਜ,k a b j
ਕਾਬਲੀ,k aa b l ii
ਕਬਰਾ,k a b r aa
ਕਬਰੀ,k a b r ii
ਕਬਤਾ,k a b t aa
ਕਾਬੂ,k aa b uu
ਕਬੂਚੀ,k a b uu c ii
ਕਬੂਚੀਆ,k a b uu c ii aa
ਕਾਬੁਕ,k aa b u k
ਕਬੂਲ,k a b uu l
ਕਬੂਲਣਾ,k a b uu l nn aa
ਕਾਬੁਲੀ,k aa b u l ii
ਕਬੂਲਵਾਉਣਾ,k a b uu l v aa u nn aa
ਕਬੂਤ੍,k a b uu t a r
ਕਬੂਤੀ੍,k a b uu t a r ii
ਕਾਚ,k aa c
ਕਚਹਿਰੀ,k a c a h i r ii
ਕਚਾਰੀਹ,k a c aa r ii h
ਕਚਾਲੂ,k a c aa l uu
ਕਚੌਲ,k a c O l
ਕਚੌਰੀ,k a c O r ii
ਕਚਾਵਾ,k a c aa v aa
ਕੱਚ,k a c c
ਕੱਚਾ,k a c c aa
ਕੱਚੀ,k a c c ii
ਕੱਛ,k a c ch
ਕੱਛਾ,k a c ch aa
ਕੱਛਣਾ,k a c ch nn aa
ਕਾੱਚੂ,k aa c c uu
ਕੱਛੁ,k a c ch uu
ਕਾਛ,k aa ch
ਕਛਹਿਰਾ,k a ch a h i r aa
ਕਛਾਈ,k a ch aa ii
ਕਾਛਲ,k aa ch a l
ਕਾਛਡ਼,k aa ch a rr
ਕਛਾਉਣਾ,k a ch aa u nn aa
ਕਛੋਟਾ,k a ch o tt aa
ਕਛੋਟੀ,k a ch o tt ii
ਕਛਰਾਲੀ,k a ch r aa l ii
ਕਛੁ,k a ch u
ਕਛੂ,k a ch uu
ਕਾਛੂ,k aa ch uu
ਕਛੂਆ,k a ch uu aa
ਕਛਵਾਹਾ,k a ch v aa h aa
ਕਚਿਆਹਣ,k a c i aa h a nn
ਕਚਿਆਹਟ,k a c i aa h a tt
ਕਚਿਆਂਧ,k a c i aa ng dh
ਕਚਿਆਈ,k a c i aa ii
ਕਚੀਚੀ,k a c ii c ii
ਕਚਖਾਮ,k a c kh aa m
ਕਚਰੋਲ,k a c k o l
ਕਚਲਹੂ,k a c l a h uu
ਕਚਲੋਹੂ,k a c l o h uu
ਕਚਨਾਲ,k a c n aa l
ਕਚਨਾਰ,k a c n aa r
ਕਚਨਊ,k a c n a uu
ਕਚਰਾ,k a c r aa
ਕਾਚਰਾ,k aa c r aa
ਕਚਰਾਧਾ,k a c r aa dh aa
ਕਚਰੀ,k a c r ii
ਕਚਰਾਉਣਾ,k a c r aa u nn aa
ਕਚੂਰ,k a c uu r
ਕਚਵਾ,k a c v aa
ਕਚਵੇ,k a c v e
ਕਦ,k a d
ਕਦਾਚਿੱਤ,c i t t
ਕਡਾਹਾਂ,k a dd aa h aa ng
ਕਡਾਹੀ,k a dd aa h ii ng
ਕਦਮ,k a d a m
ਕਦਮੀ,k a d a m ii
ਕਡਾਂ,k a dd aa ng
ਕਡਨ,k a dd a n
ਕਾਦਰ,k aa d a r
ਕਦਰ,k a d a r
ਕੱਦ,k a d d
ਕੱਢਣਾ,k a dd ddh nn aa
ਕਦੂੱ,k a d d uu
ਕਦੇ,k a d e
ਕਡੇਂ,k a dd e ng
ਕਾਢ,k aa ddh
ਕਾਢਾ,k aa ddh aa
ਕਢਾਈ,k a ddh aa ii
ਕਢਨ,k a ddh a n
ਕਢਾਉਣਾ,k a ddh aa u nn aa
ਕਧਿਆਲੀ,k a dh i aa l ii
ਕਦੀ,k a d ii
ਕਦੀਂ,k a d ii ng
ਕਡੀਂ,k a dd ii ng
ਕਡਿਆਲਾ,k a dd i aa l aa
ਕਦੀਮ,k a d ii m
ਕਦੀਮੀ,k a d ii m ii
ਕਦਲੀ,k a d l ii
ਕਦੋਕਣਾ,k a d o k nn aa
ਕਡੋਕਨਾਂ,k a dd o k n aa ng
ਕਦੋਂ,k a d o ng
ਕਾਦਰਾ,k aa d r aa
ਕਦੂਰਤ,k a d uu r a t
ਕਫ,k a ph
ਕਫਾਇਤ,k a ph aa i t
ਕਫਾਇਤਣ,k a ph aa i t a nn
ਕਫਾਇਤੀ,k a ph aa i t ii
ਕਫਣ,k a ph a nn
ਕਾਫਰ,k aa ph a r
ਕਾਫਿਰ,k aa ph i r
ਕਫਨਾਉਣਾ,k a ph n aa u nn aa
ਕਫਣੀ,k a ph nn ii
ਕਫਨੀਰਨਾ,k a ph n ii r n aa
ਕਾਗ,k aa g
ਕਾਗ,k aa g
ਕਾਗਾ,k aa g aa
ਕਾਗਦ,k aa g a d
ਕਾਗਜ,k aa g a j
ਕਾਗਤ,k aa g a t
ਕਾਗਲ,k aa g a l
ਕਗਲ,k a g a l
ਕਾਗਜੀ,k aa g a j ii
ਕਾਗਤੀ,k aa g a t ii
ਕਹ,k aa h
ਕਹਾ,k a h aa
ਕਹਾਈ,k a h aa ii
ਕਾਹਣ,k aa h a nn
ਕਹਾਣੀ,k a h aa nn ii
ਕਹਾਰ,k a h aa r
ਕਹਰ,k a h a r
ਕਹਾਰੀ,k a h aa r ii
ਕਹਾਰਣੀ,k a h aa r nn ii
ਕਹਾਉਤ,k a h aa u t
ਕਹਾਉਣਾ,k a h aa u nn aa
ਕਹੇ,k a h e
ਕਹੀ,k a h ii
ਕਾਹੀ,k aa h ii
ਕਹਿਆ,k a h i aa
ਕਹਿਗਲ,k a h i g a l
ਕਹਿਲਾਭੇਜਣਾ,k a h i l aa bh e j nn aa
ਕਹਿਲਾਉਣਾ,k a h i l aa u nn aa
ਕਹਿਨਾਉਣਾ,k a h i n aa u nn aa
ਕਾਹੀਂ,k aa h ii ng
ਕਹਿਣਾ,k a h i nn aa
ਕਹਿੰਦ,k a h i ng d
ਕਹਿਓਸ,k a h i o s
ਕਹਿਰ,k a h i r
ਕਹਿਰਾ,k a h i r aa
ਕਾਹਜਿਬਾਣ,k aa h j i b aa nn
ਕਾਹਕਰ,k aa h k a r
ਕਾਹਲਾ,k aa h l aa
ਕਾਹਲੀ,k aa h l ii
ਕਹਨ,k a h n
ਕਾਹਲੋਂ,k aa h l o ng
ਕਾਹਨਡ਼ਾ,k aa h n a rr aa
ਕਾਹਨੂੰ,k aa h n uu ng
ਕਾਹਡ਼ਾ,k aa h rr aa
ਕਾਹਡ਼ਣਾ,k aa h rr nn aa
ਕਹੁ,k a h u
ਕਾਹੂ,k aa h uu
ਕਾਹਯਾ,k aa h y aa
ਕਹਯਾ,k a h y aa
ਕੈ,k E
ਕਈ,k a ii
ਕਾਈ,k aa ii
ਕਾਇਆਂ,k aa i aa ng
ਕੈਦ,k E d
ਕੈਡ,k E dd
ਕੈਡਾ,k E dd aa
ਕੈਦਣ,k E d a nn
ਕੈਦੀ,k E d ii
ਕੈਹਣਾ,k E h nn aa
ਕਾਇਜਾ,k aa i j aa
ਕੈਕੋਇਆ,k E k o i aa
ਕੈਲ,k E l
ਕੈਲਾ,k E l aa
ਕੈਮ,k E m
ਕਾਇਮ,k aa i m
ਕੈਮਬਲ,k E m b a l
ਕਾਇਮੀ,k aa i m ii
ਕੈਮੀ,k E m ii
ਕੈਣ,k E nn
ਕੈਂਚਣ,k E ng c a nn
ਕੈਂਚਣੀ,k E ng c a nn ii
ਕੈਂਚੀ,k E ng c ii
ਕੈਂਧ,k E ng dh
ਕੈਂਸ,k E ng s
ਕੈਂਥ,k E ng th
ਕਾਇਫਲ,k aa i ph a l
ਕੈਰ,k E r
ਕੈਰਾ,k E r aa
ਕੈਸਾ,k E s aa
ਕਾਇਥ,k aa i th
ਕੈਥ,k E th
ਕਾਇਥੀ,k aa i th ii
ਕਾਇਥਿਆਣੀ,k aa i th i aa nn ii
ਕਾਇਥਣੀ,k aa i th nn ii
ਕਾਇਥਯਾਣੀ,k aa i th y aa nn ii
ਕਜ,k a j
ਕਾਜ,k aa j
ਕਜ,k a j aa
ਕਾਜਾ,k aa j aa
ਕਾਜੇ,k aa j e
ਕਜਈ,k a j a ii
ਕਜਾਕ,k a j aa k
ਕਜਾਕੀ,k a j aa k ii
ਕਜਨ,k a j a n
ਕਜਾਵਾ,k a j aa v aa
ਕਾਜੀ,k aa j ii
ਕਜਿਆ,k a j i aa
ਕਜੀਆ,k a j ii aa
ਕਜਿਆਇਣ,k a j i aa i nn
ਕਜਿਆਣ,k a j i aa nn
ਕਜਿਆਣੀ,k a j i aa nn ii
ਕੱਜਲ,k a j j a l
ਕਜਲਾ,k a j l aa
ਕਾੱਜੀ,k aa j j ii
ਕੱਜਣਾ,k a j j nn aa
ਕਜਲੀ,k a j l ii
ਕਜਲੋਠੀ,k a j l o tth ii
ਕਜੁ,k a j u
ਕਜਯਾ,k a j y aa
ਕਾਕ,k aa k
ਕਾਕਾ,k aa k aa
ਕਕਹਿਰਾ,k a k a h i r aa
ਕਾਕਲ,k aa k a l
ਕਕੌਡ਼ਾ,k a k O rr aa
ਕਾਕੀ,k aa k ii
ਕੱਕਾ,k a k k aa
ਕੱਕਰ,k a k k a r
ਕੱਕਡ਼,k a k k a rr
ਕੱਕਡ਼ੀ,k a k k a rr ii
ਕੱਖ,k a k kh
ਕੱਕੋ,k a k k o
ਕੱਕਰਾਇਣ,k a k k r aa i nn
ਕੱਕਰਿਣ,k a k k r i nn
ਕਕਰਾ,k a k r aa
ਕਾਕਡ਼ਾ,k aa k rr aa
ਕਕਡ਼ੈਲ,k a k rr E l
ਕਕਰੇਜੀ,k a k r e j ii
ਕਕਡ਼ੀ,k a k rr ii
ਕਕਰੋਲਾ,k a k r o l aa
ਕਕੂਹਾ,k a k uu h aa
ਕਲ,k a l
ਕਾਲ,k aa l
ਕਲਾ,k a l aa
ਕਾਲਾ,k aa l aa
ਕਲਾਬਤੂ,k a l aa b a t uu
ਕਲਫ,k a l a ph
ਕਲਹਿਣਾ,k a l a h i nn aa
ਕਲਹਿਣੀ,k a l a h i nn ii
ਕਲੈਹਣੀ,k a l E h nn ii
ਕਲਈ,k a l a ii
ਕਲਾਈ,k a l aa ii
ਕਲਾਇਚਬੂਟੀ,k a l aa i c b uu tt ii
ਕਾਲਕ,k aa l a k
ਕਲਾਲ,k a l aa l
ਕਲਾਲਣ,k a l aa l a nn
ਕਲਾਲੀ,k a l aa l ii
ਕਲਾਮ,k a l aa m
ਕਲਮ,k a l a m
ਕਲਨ,k a l a n
ਕਲੰਦਰ,k a l a ng d a r
ਕਲੰਦਰੀ,k a l a ng d a r ii
ਕਲੰਗਾ,k a l a ng g g aa
ਕਲੰਗੀ,k a l a ng g g ii
ਕਲੰਕ,k a l aa ng k
ਕਲੰਕਣ,k a l a nn k a nn
ਕਲੰਕੀ,k a l a ng k ii
ਕਲਪ,k a l a p
ਕਲਪਣਾ,k a l a p nn aa
ਕਲਾਡ਼ੀ,k a l aa rr ii
ਕਲਾਸ਼,k a l aa sh
ਕਲਥੂੰ,k a l a th uu ng
ਕਲੱਥੋਂ,k a l a t th o ng
ਕਲੱਤ੍,k a l a t t a r
ਕਲਾਉਣਾ,k a l aa u nn aa
ਕਲੌਂਜੀ,k a l O ng j ii
ਕਲਵੰਜੀ,k a l v a ng j ii
ਕਲਾਉਂਤ,k a l aa u ng t
ਕਲਾਵੰਤ,k a l aa v a nn t
ਕਲਾਉਂਤਣੀ,k a l aa u ng t a nn ii
ਕਲਾਉਂਤਣੀ,k a l aa u ng t nn ii
ਕਲਾਵਾ,k a l aa v aa
ਕਲਾਵਡ਼ਾ,k a l aa v a rr aa
ਕਲਬੂਤ,k a l b uu t
ਕਲਬੂਤੀ,k a l b uu t ii
ਕਲਚੂਨਾ,k a l c uu n aa
ਕਲੇਜਾ,k a l e j aa
ਕਲੇਜੀ,k a l e j ii
ਕਲੇਰ,k a l e r
ਕਲੇਸ,k a l e s
ਕਲਗਾ,k a l g aa
ਕਲਗੀ,k a l g ii
ਕਲ੍ਹ,k a l h
ਕਲ੍ਹਾ,k a l h aa
ਕਲਹੋਕਾ,k a l h o k aa
ਕਲਹੋਟੀ,k a l h o tt ii
ਕਾਲੀ,k aa l ii
ਕਲੀ,k a l ii
ਕਲੀਆ,k a l ii aa
ਕਲਿਆਣ,k a l i aa nn
ਕਲਯਾਣ,k a l y aa nn
ਕਲੀਚਾ,k a l ii c aa
ਕਲਿਹਾਰ,k a l i h aa r
ਕਲਿਹਾਰਾ,k a l i h aa r aa
ਕਲੀਣ,k a l ii nn
ਕਾਲੀਣ,k aa l ii nn
ਕਾਲਜਾ,k aa l j aa
ਕਾਲਕਾ,k aa l k aa
ਕਲਕਾ,k a l k aa
ਕਲਕਲਕਰਨਾ,k a r n aa
ਕੱਲ,k a l l
ਕੱਲੁ,k a l l u
ਕੱਲਾ,k a l l aa
ਕੱਲਰ,k a l l a r
ਕੱਲਿਆਣ,k a l l i aa nn
ਕੱਲਯਾਣ,k a l l y aa nn
ਕਲਿੱਤ੍,k a l i t t a r
ਕਲਮਾ,k a l m aa
ਕਲਮਲ,k a l m a l
ਕਲਮਲਾਉਣਾ,k a l m a l aa u nn aa
ਕਲਮੀ,k a l m ii
ਕਲਨਾ,k a l n aa
ਕਲੋਲ,k a l o l
ਕਲੋਲਨਾ,k a l o l n aa
ਕਲੋਰ,k a l o r
ਕਲੋਤੀ,k a l o t ii
ਕਲਪ,k a l p
ਕਲਪਾਉਣਾ,k a l p aa u nn aa
ਕਲਸ,k a l s
ਕਲੂ,k a l uu
ਕਲਸੀ,k a l s ii
ਕਲਸਿਰੀ,k a l s i r ii
ਕਲਵੰਜੀ,k a l v a ng j ii
ਕਲਵਾਰਾ,k a l v aa r aa
ਕਲਵਤ੍,k a l v a t a r
ਕਲਵਤੀ੍,k a l v a t a r ii
ਕਲਯਾ,k a l y aa
ਕਾਲਯਾ,k aa l y aa
ਕਮ,k a m
ਕਾਮ,k aa m
ਕਾਮਾ,k aa m aa
ਕਮਾਚ,k a m aa c
ਕਮਾਦ,k a m aa d
ਕਮਾਦੀ,k a m aa d ii
ਕਮਾਈ,k a m aa ii
ਕਮੈਦ,k a m E d
ਕਮੈਤ,k a m E t
ਕਮਲ,k a m a l
ਕਮਾਲ,k a m aa l
ਕਮਾਲੀਤ,k a m aa l ii t
ਕਮਾਮ,k a m aa m
ਕਾਮਣ,k aa m a nn
ਕਮਾਣ,k a m aa nn
ਕਾਮਣਾ,k aa m a nn aa
ਕਾਮਣੀ,k aa m a nn ii
ਕਮਾਣਚੀ,k a m aa nn c ii
ਕਮਾਂਦ,k a m aa ng d
ਕਮੰਦ,k a m a ng d
ਕਮੰਡਲ,k a m a ng dd a l
ਕਮਾਣੀ,k a m aa nn ii
ਕਮਾਨੀਅਰ,k a m aa n ii a r
ਕਮਰ,k a m a r
ਕਮਾਰਾ,k a m aa r aa
ਕਮਾਰੀ,k a m aa r ii
ਕਮਾਠੀ,k a m aa tth ii
ਕਮਾਊ,k a m aa uu
ਕਮਾਉਣਾ,k a m aa u nn aa
ਕਮਾਵਣ,k a m aa v a nn
ਕੰਬਲ,k a m b a l
ਕੰਬਲੀ,k a m b l ii
ਕੰਬਾਉਣ,k a m b aa u nn aa
ਕਮਬੇਲ,k a m b e l
ਕਮਬੇਲਾ,k a m b e l aa
ਕਮਬੀਲਾ,k a m b ii l aa
ਕੰਬਣਾ,k a m b nn aa
ਕੰਮਬਣੀ,k a m b nn ii
ਕਮਬੋ,k a m b o
ਕੰਮਬੋ,k a m b o
ਕੰਮਬੋਣੀ,k a m b o nn ii
ਕਮਚੀ,k a m c ii
ਕਮੇਠੀ,k a m e tth ii
ਕਮੇਟੀ,k a m e tt ii
ਕਮੀ,k a m ii
ਕਾਮੀ,k aa m ii
ਕਮਿਲ,k a m i l
ਕਮੀਲਾ,k a m ii l aa
ਕਮੀਣ,k a m ii nn
ਕਮੀਣਾ,k a m ii nn aa
ਕਮੀਨਣੀ,k a m ii n a nn ii
ਕਮਲਾ,k a m l aa
ਕਮਲੀ,k a m l ii
ਕਮਲਾਣਾ,k a m l aa nn aa
ਕਮਲਾਜਾਣਾ,k a m l aa j aa nn aa
ਕਮਲਾਉਣਾ,k a m l aa u nn aa
ਕਮਲੋਆ,k a m l o aa
ਕੱਮ,k a m m
ਕਾੱਮਾ,k aa m m aa
ਕੱਮਲ,k a m m a l
ਕੱਮਲੀ,k a m m l ii
ਕੱਮਯਾਂ,k a m m y aa nn
ਕਾਮਣਾ,k aa m nn aa
ਕਾਮਣੀ,k aa m nn ii
ਕਮੋਧ,k a m o dh
ਕਮਪਣੀ,k a m p a nn ii
ਕਮਪੂ,k a m p uu
ਕਮਰਖ,k a m r a kh
ਕਮੁਆਉਣਾ,k a m u aa u nn aa
ਕਾਮੁਕ,k aa m u k
ਕਮੂਤ,k a m uu t
ਕਮੂਤ੍,k a m uu t a r
ਕਮਵਾਉਣਾ,k a m v aa u aa
ਕਾਂ,k aa ng
ਕਣ,k a nn
ਕਨ,k a n
ਕਾਨ,k aa n
ਕਾਣ,k aa nn
ਕਣਾ,k a nn aa
ਕਾਣਾ,k aa nn aa
ਕਾਣਾਂ,k aa nn aa ng
ਕਨਾਗਤ,k a n aa g a t
ਕਨੈਓ,k a n E o
ਕਨੈਤ,k a n E t
ਕਨੈਤਣੀ,k a n E t a nn ii
ਕਣਕ,k a nn a k
ਕਨਾਲ,k a n aa l
ਕਨਾਰ,k a n aa r
ਕਨਾਰਾ,k a n aa r aa
ਕਨਾਰੀ,k a n aa r ii
ਕਨਾਤੇ੍,k a n aa t a r e
ਕਨੌਤੇ੍,k a n O t a r e
ਕਨੌਤੀਆਂ,k a n O t i aa ng
ਕਨੌਡ,k a n O dd
ਕਣੌਡ,k a nn O dd
ਕਨੌਡਾ,k a n O dd aa
ਕਣੌਡਾ,k a nn O dd aa
ਕਾਂਚ,k aa ng c
ਕੰਚਣ,k a ng c a nn
ਕੰਚਣੀ,k a ng c a nn ii
ਕਾਂਛ,k aa ng ch
ਕਾਂਚੀ,k aa ng c ii
ਕੰਦ,k a ng d
ਕੰਡ,k a ng dd
ਕਾਂਡ,k aa ng dd
ਕੰਦਾ,k a ng d aa
ਕਾਂਡਾ,k aa ng dd aa
ਕੰਦਲ,k a ng d a l
ਕੰਡਾ,k a ng dd dd aa
ਕੰਧ,k a ng dh
ਕੰਢ,k a ng ddh
ਕੰਧਾ,k a ng dh aa
ਕੰਢਾ,k a ng ddh aa
ਕਾਂਢਾ,k aa ng ddh aa
ਕਾਂਢਣ,k aa ng ddh a nn
ਕੰਧੇ,k a ng dh e
ਕੰਢੀ,k a ng ddh ii
ਕੰਢਲੀ,k a ng ddh l ii
ਕੰਢੁਲੀ,k a ng ddh u l ii
ਕੰਧੋਲਾ,k a ng dh o l aa
ਕੰਦੀ,k a ng d ii
ਕਾਂਦੀ,k aa ng d ii
ਕੰਡੀ,k a ng dd ii
ਕੰਡਿਆਲਾ,k a ng dd i aa l aa
ਕੰਡਿਆਲੀ,k a ng dd i aa l ii
ਕੰਡਿਆਰੀ,k a ng dd i aa r ii
ਕੰਦੀਲ,k a ng d ii l
ਕੰਦਲਾ,k a ng d l aa
ਕੰਦਲੀ,k a ng d l ii
ਕੰਦਰਾ,k a ng d r aa
ਕੰਦੂਰਾ,k a ng d uu r aa
ਕੰਦੂਰੀ,k a ng d uu r ii
ਕੰਦੁਲੁਕ,k a ng d u l u k
ਕੰਡਯਾਰ,k a ng dd y aa r
ਕਾਣੇ,k aa n e
ਕਨੇਡਾ,k a n e dd aa
ਕਨੇਡੂ,k a n e dd uu
ਕਨੇਲ,k a n e l
ਕਨੇਰ,k a n e r
ਕਨੇਰਾ,k a n e r aa
ਕਨੇਠਾ,k a n e tth aa
ਕਾਂਗ,k aa ng g
ਕਾਂਗਡ਼,k aa ng g a rr
ਕੰਗਾਲ,k a ng g g aa l
ਕੰਗਾਲਣੀ,k a ng g g aa l a nn ii
ਕੰਗਣ,k a ng g g a nn
ਕੰਗਣਾ,k a ng g g a nn aa
ਕੰਗਣੀ,k a ng g g a nn ii
ਕੰਗੁਣੀ,k a ng g g u nn ii
ਕੰਗਣੀ,k a ng g g nn ii
ਕੰਘਾ,k a ng g gh aa
ਕੰਘਾਲਣਾ,k a ng g gh aa l nn aa
ਕੰਘੀ,k a ng g gh ii
ਕੰਗੀ,k a ng g g ii
ਕਾਂਗਿਆਰੀ,k aa ng g i aa r ii
ਕਾਨੀ,k aa n ii
ਕੰਗਲਾ,k a ng g l aa
ਕਾਂਗਲ੍ਹ,k aa ng g l a h
ਕਾਂਗਡ਼ਾ,k aa ng g rr aa
