ਆ,Á
ਕਨਕੋਇਲ,KANKOIL
ਕਨਕੋਇਰ,KANKOIR
ਕਨਕੂਤ,KANKÚT
ਕਨਕੂਟ,KANKÚṬ
ਕੰਨ,KANN
ਕੰਨ,KANN
ਕੱਨਾ,KANNÁ
ਕਾੱਨਾ,KÁNNÁ
ਕੱਨਕਾਂ,KANNKÁṆ
ਕੱਨੇ,KANNE
ਕੱਨ੍ਹਾ,KANNHÁ
ਕੰਨ੍ਹਾ,KANNHÁ
ਕੱਨੀ,KANNÍ
ਕੱਨਿਆਂ,KANNIÁṆ
ਕੱਨਿਯਾਂ,KANNIYÁṆ
ਕੱਨੀਂ,KANNÍṆ
ਕਨੋਡ,KANOḌ
ਕਨੋਡਾ,KANOḌÁ
ਕਣੋਈ,KAṈOÍ
ਕਨੋਰਾ,KANORÁ
ਕਨੋਤਰੇ,KANOTARE
ਕਨਸ,KANS
ਕੰਸ,KAṈAS
ਕਣਸ,KAṈS
ਕਾਂਸ਼ੀ,KÁṆSHÍ
ਕਾਂਸੀ,KÁṆSÍ
ਕਾਂਸੀ,KÁṆSÍ
ਕਣਸੋ,KAṈSO
ਕਣਤ,KAṈT
ਕੰਤ,KAṆT
ਕੰਥ,KAṆTH
ਕਾਂਟਾ,KÁṆṬÁ
ਕੰਟਕ,KAṆṬAK
ਕੰਠ,KAṆṬH
ਕੰਠਾ,KAṆṬHÁ
ਕੰਠੀ,KAṆṬHÍ
ਕਾਣੂ,KÁṈÚ
ਕਾਨੂਗੋ,KÁNÚGO
ਕਨੂਨ,KANÚN
ਕਾਨੂਨ,KÁNÚN
ਕਾਨੂੰ,KANÚṆ
ਕਨੂਨਣ,KANÚNAṈ
ਕਨੂਨੀ,KANÚNÍ
ਕਨੂਣੀ,KANÚṈÍ
ਕਨੂਰੀ,KANÚRÍ
ਕੰਵਲ,KAṆWAL
ਕੰਵਰ,KAṆWAR
ਕੰਵਾਰਾ,KAṆWÁRÁ
ਕੰਵਾਰੀ,KAṈWÁRÍ
ਕੰਵਾਰਪੁਣਾ,KAṈWÁRPUṈÁ
ਕਾਉਨੀਂ,KÁONÍṆ
ਕਪ,KAP
ਕਾਪਾ,KÁPÁ
ਕਪਾਹ,KAPÁH
ਕਪਾਹੇ,KAPÁHE
ਕਪਾਹੀ,KAPÁHÍ
ਕਪਾਲ,KAPÁL
ਕਪਣ,KAPAṈ
ਕਪਰ,KAPAR
ਕਪਡ਼ਛਾਣ,KAPAṚCHHÁṈ
ਕੱਪਡ਼ਛਾਣ,CHHÁṈ
ਕਪਡ਼ਧਡ਼ੀ,KAPAṚDHAṚÍ
ਕਪਡ਼ਧੂਲ,KAPAṚDHÚL
ਕਪਡ਼ਧੂਡ਼,KAPAṚDHÚṚ
ਕਪਟ,KAPAṬ
ਕਪਾਟ,KAPÁṬ
ਕਪੱਤ,KAPATT
ਕਪੱਤਾ,KAPATTÁ
ਕਪੱਤੀ,KAPATTÍ
ਕਫਣ,KAPHAṈ
ਕਫਰ,KAPHAR
ਕਫਰਾ,KAPHRÁ
ਕਾਪੀ,KÁPÍ
ਕਪੀਣ,KAPÍṈ
ਕਪਲਾ,KAPLÁ
ਕੱਪਡ਼,KAPPAṚ
ਕੱਪਣਾ,KAPPṈÁ
ਕੱਪਡ਼ਾ,KAPPṚÁ
ਕੱਪਡ਼ੇ,KAPPRE
ਕੱਪਡ਼ੀ,KAPPṚÍ
ਕਪਡ਼ਹਾਨ,KAPṚHÁN
ਕਪਡ਼ਿਆਹਣ,KAPṚIÁHAṈ
ਕਪਡ਼ਾਂਧ,KAPṚÁṆDH
ਕਪਡ਼ੌਈ,KAPṚAUṬÍ
ਕਪਡ਼ੋਟੀ,KAPṚOṬÍ
ਕਾਪਡ਼ੀ,KÁPṚÍ
ਕਪੂਰ,KAPÚR
ਕਪੂਰੀ,KAPÚRÍ
ਕਪਟਣ,KAPṬAṈ
ਕਪਟੀ,KAPṬÍ
ਕਪਟੀਓ,KAPṬÍO
ਕਪੂਤ,KAPÚT
ਕਪੁੱਤ,KAPUTT
ਕਪੁੱਤ੍,KAPUTTAR
ਕਰ,KAR
ਕਡ਼,KAṚ
ਕਾਰ,KÁR
ਕਡ਼ਾ,KAṚÁ
ਕਾਰਾ,KÁRÁ
ਕਰਾਹ,KARÁH
ਕਡ਼ਾਹ,KAṚÁH
ਕਡ਼ਾਹਾ,KAṚÁHÁ
ਕਰਾਹਾ,KARÁHÁ
ਕਰਾਹਤ,KARÁHAT
ਕਡ਼ਾਹੀ,KAṚÁHÍ
ਕਰਾਹੀ,KARÁHÍ
ਕਰਾਹਣਾ,KARÁHṈÁ
ਕਰਾਈ,KARÁÍ
ਕਡ਼ਾਈ,KAṚÁÍ
ਕਰਾਇਆ,KARÁIÁ
ਕਰਾਈਂ,KARÁÍṆ
ਕਰਜ,KARAJ
ਕਾਰਜ,KÁRAJ
ਕਡ਼ਕ,KAṚAK
ਕਡ਼ਾਕਾ,KAṚÁKÁ
ਕਡ਼ਾਕਡ਼,KAṚÁKAṚ
ਕਰਖਤ,KARAKHT
ਕਡ਼ਕਣਾ,KAṚAKṈÁ
ਕਰਮ,KARAM
ਕਰਮਾਮਾਤ,KARÁMÁT
ਕਮਾਮਾਤਣ,KARÁMÁTAṈ
ਕਰਾਮਾਤੀ,KARÁMÁTÍ
ਕਾਰਮਣਾ,KÁRAMṈÁ
ਕਾਰਨ,KÁRAN
ਕਾਰਣ,KÁRAṈ
ਕਰਾਨਾ,KARÁNÁ
ਕਰੰਡ,KARAṆḌ
ਕਰੰਡੀ,KARAṆḌÍ
ਕਰੰਗ,KARAṆG
ਕਾਰੰਗਾ,KÁRAṆGÁ
ਕਰੰਜਵਾ,KARAṆJWÁ
ਕਰਾਰ,KARÁR
ਕਰਡ਼,KARAṚ
ਕਰਾਡ਼,KARÁṚ
ਕਰਾਰਾ,KARÁRÁ
ਕਰਡ਼ਾ,KARAṚÁ
ਕਰਡ਼ੀ,KARAṚÍ
ਕਰਸ਼ਟ,KARASHṬ
ਕਰਸਟ,KARASṬ
ਕਡ਼ਾਉਣਾ,KAṚÁUṈÁ
ਕਰਾਉਣਾ,KARÁUṈÁ
ਕੌਂਦਾ,KARAUṆDÁ
ਕਰਾਵਾ,KARÁWÁ
ਕਰਾਯਾ,KARÁYÁ
ਕਰਬ,KARB
ਕਰਬਲਾ,KARBALÁ
ਕਰਬਲਾਈ,KARBALÁÍ
ਕਡ਼ਬਡ਼ਾਟ,KAṚBAṚÁṬ
ਕਡ਼ਬਡ਼੍ਹਾ,KAṚBAṚHÁ
ਕਰਬਡ਼੍ਹੀ,KAṚBAṚHÍ
ਕਰਬਡ਼੍ਹੀ,KARBAṚÍ
ਕਰਬਤ,KARBAT
ਕਡ਼ਛ,KAṚCHH
ਕਡ਼ਛਾ,RAṚCHHÁ
ਕਡ਼ਛੀ,KAṚCHHÍ
ਕਰਦ,KARD
ਕਰਦਨੀ,KARDANÍ
ਕਾਰੇ,KÁRE
ਕਰੇਲਾ,KARELÁ
ਕਰੇਡ਼ਾ,KAREṚÁ
ਕਰੇਵਾ,KAREWÁ
ਕਰੇਜ਼ਾ,KAREZÁ
ਕਡ਼੍ਹ,KARH
ਕਰਹਾ,KARHÁ
ਕਾਡ਼੍ਹਾ,KÁṚHÁ
ਕਡ਼੍ਹਾਹੀ,KAṚHÁÍ
ਕਰਹਲਾ,KARHALÁ
ਕਡ਼੍ਹਾਉਣਾ,KAṚHÁUṈÁ
ਕਡ਼੍ਹੀ,KAṚHÍ
ਕਰਹਿਊਂ,KARHIÚṆ
ਕਡ਼੍ਹਣਾ,KAṚHṈÁ
ਕਾਡ਼੍ਹਣਾ,KÁṚHṈÁ
ਕਾਡ਼੍ਹਣੀ,KÁṚHṈÍ
ਕਰਹੋਬਿਲਾ,KARHOBILÁ
ਕਾਰੀ,KÁRÍ
ਕਡ਼ੀ,KAṚÍ
ਕਡ਼ਿਆ,KAṚIÁ
ਕਰਿਆਹਣ,KARIÁHAṈ
ਕਰਿਆਂਧ,KARIÁṆDH
ਕਡ਼ਿਆਲਾ,KAṚIÁLÁ
ਕਰਿਆਨਾ,KARIÁNÁ
ਕਰਿੱਗਰ,KARIGGAR
ਕਿ੍ੱਗਰਨ,KARIGGARN
ਕਰਿੱਗਰੀ,KARIGGARÍ
ਕਡ਼ਿੱਕੀ,KAṚIKKÍ
ਕਰੀਮ,KARÍM
ਕਰਿੰਦਾ,KARIṆDÁ
ਕਰੀਂਹ,KARÍṆH
ਕਰੀਰ,KARÍR
ਕਰੀਡ਼,KARÍṚ
ਕਰੀਡ਼ਣਾ,KARÍṚṈÁ
ਕਰਿਸ਼ਨ,KARISHAN
ਕਰਿਸ਼ਨਾ,KARISHNÁ
ਕਰਿਸਮਾ,KARISMÁ
ਕਰੀਟਾ,KARIṬÁ
ਕਰਜ,KARJ
ਕਰਜਾ,KARJÁ
ਕਰਜਾਈ,KARJÁÍ
ਕਰਜਾਇਣ,KARJÁIṈ
ਕਰਕ,KARK
ਕਡ਼ਕ,KAṚK
ਕਡ਼ਕਾ,KAṚKÁ
ਕਰਕਨੀ,KARKANÍ
ਕਡ਼ਕਾਰ,KAṚKÁR
ਕਡ਼ਕਾਉਣਾ,KAṚKÁUṈÁ
ਕਰਕੌਣਾ,KARKAUṈÁ
ਕਰਕੇ,KARKE
ਕਰਲ,KARL
ਕਰਲਾਉਣਾ,KARLÁUṈÁ
ਕਰਮ,KARM
ਕਡ਼ਮਾਈ,KAṚMÁÍ
ਕਰਮਣ,KARMAṈ
ਕਰਮੀ,KARMÍ
ਕਰਮੰਡਲ,KARMAṆḌAL
ਕਰਨ,KARN
ਕਰਨਾ,KARNÁ
ਕਡ਼ਨਾ,KAṚNÁ
ਕਾਰਨਾ,KÁRNÁ
ਕਰਨੀ,KARNÍ
ਕਰੋ,KARO
ਕਰੋਧ,KARODH
ਕਰੋਧਣ,KARODHAṈ
ਕਰੋਧੀ,KARODHÍ
ਕਰੋਹ,KAROH
ਕਰੋਹੀ,KAROHÍ
ਕਰੋਲਣਾ,KAROLAṈÁ
ਕਰੋਲਨਾ,KAROLNÁ
ਕਰੋਨਕ,KARONK
ਕਰੋਪ,KAROP
ਕਰੋਪਣ,KAROPAṈ
ਕਰੋਪੀ,KAROPÍ
ਕਰੋਡ਼,KAROṚ
ਕਰੋਡ਼ਾ,KAROṚÁ
ਕਰੋਡ਼ੀ,KAROṚÍ
ਕਰਪਾਲ,KARPÁL
ਕਰਪਾਣ,KARPÁṈ
ਕਰਡ਼ਾ,KARṚÁ
ਕੱਰਹ,KARRAH
ਕਰਡ਼ਾਈ,KARṚÁÍ
ਕਰਸਾਣ,KARSÁṈ
ਕਰਸਾਨਣੀ,KARSÁNAṈÍ
ਕਰਸਾਣੀ,KARSÁṈÍ
ਕਾਰਸੀ,KÁRSÍ
ਕਡ਼ਤ,KAṚT
ਕਰਤਾ,KARTÁ
ਕਰਤਬ,KARTAB
ਕਰਤੱਬ,KARTABB
ਕਰਤਲ,KARTAL
ਕਰਤਾਰ,KARTÁR
ਕਰਤਾਰਥ,KARTÁRATH
ਕਰਤਾਰੀ,KARTÁRÍ
ਕਾਰਤੂਸ,KÁRTÚS
ਕਰਤੂਤ,KARTÚT
ਕਡ਼ੂ,KAṚÚ
ਕਰੂ,KARÚ
ਕਾਰੂੰ,KÁRÚṆ
ਕਰੂਨਣ,KARÚNAṈ
ਕਰੂਨੀ,KARÚNÍ
ਕਰੂੰਡੀਆ,KARÚṆḌÍÁ
ਕਰੂੰਜਡ਼ਾ,KARÚṆJAṚÁ
ਕਰੂੰਜਡ਼ੀ,KARÚṆJAṚÍ
ਕਰੂੰਜਡ਼ਪੁਣਾ,KARÚṆJAṚPUṈÁ
ਕਰੂਰ,KARÚR
ਕਰੂਰਾ,KARÚRÁ
ਕਰਵਾ,KARWÁ
ਕਰਵਾਈ,KARWÁÍ
ਕਰਵਾਲ,KARWÁL
ਕਰਵਾਨ,KARWÁN
ਕਰਵਾਨਣੀ,KARWÁNAṈÍ
ਕਰਵਾਨੀ,KARWÁNÍ
ਕਰਵਾਰ,KARWÁR
ਕਰਵਤ,KARWAT
ਕਰਵੱਤ੍,KARWATTAR
ਕਰਵਾਉਣਾ,KARWÁUṈÁ
ਕਰਵੀਲਾ,KARWÍLÁ
ਕਰਵੀਲੂੰ,KARWÍLÚṆ
ਕਸ,KAS
ਕਾਸ,KÁS
ਕਸਬ,KASAB
ਕਸਦ,KASAD
ਕਸਾਈ,KASÁÍ
ਕਸਾਇਣ,KASÁIṈ
ਕਸੈਲਾ,KASAILÁ
ਕਾਸਕ,KÁSAK
ਕਸਾਲਾ,KASÁLÁ
ਕਸਮ,KASAM
ਕਸਾਂ,KASÁṆ
ਕਸਾਂਦਾ,KASÁṆDÁ
ਕਸੱਪਣ,KASAPPAṈ
ਕਸਾਰ,KASÁR
ਕਸਰ,KASAR
ਕਸਰਾਧਾ,KASARÁDHÁ
ਕਸਾਉ,KASÁU
ਕਸਾਉਟ,KASÁUṬ
ਕਸਾਵਟ,KASÁWAṬ
ਕਸਾਉਣਾ,KASÁUṈÁ
ਕਸੌਟੀ,KASAUṬÍ
ਕਸਬਾ,KASBÁ
ਕਸਬਣ,KASBAṈ
ਕਸਬੀ,KASBÍ
ਕਸਬਾਤਣ,KASBÁTAṈ
ਕਸਬਾਤੀ,KASBÁTÍ
ਕਾਸਬੀ,KÁSBÍ
ਕਾਸੇ,KÁSE
ਕਸੇਰ,KASER
ਕਸੇਰਾ,KASERÁ
ਕਸ਼ਾ,KUSHÁ
ਕਸ਼ਮੀਰ,KASHMÍR
ਕਸਮੀਰ,KASMÍR
ਕਸ਼ਮੀਰਣ,KASHMÍRAṈ
ਕਸਮੀਰਣ,KASMÍRAṈ
ਕਸ਼ਮੀਰੀ,KASHMÍRÍ
ਕਸਮੀਰੀ,KASMÍRÍ
ਕਸ਼ਪ,KASHAP
ਕਸਪ,KASAP
ਕਾਸ਼ਣੀ,KÁSHṆÍ
ਕਸ਼ਟ,KASHṬ
ਕਾਸ਼ਟ,KÁSHṬ
ਕਸ਼ਟਣੀ,KASHṬAṈÍ
ਕਾਸੀ,KÁSÍ
ਕਸੀ,KASÍ
ਕਸਿਆ,KASIÁ
ਕਸਿਆਣਾ,KASIÁṈÁ
ਕਸਿਆਉਣਾ,KASIÁUṈÁ
ਕਸੀਦਾ,KASÍDÁ
ਕਸੀਰਾ,KASÍRÁ
ਕਸੀਸ,KASÍS
ਕਸਕਾਸ,KASKÁS
ਕਸਕਸਾ,KASKASÁ
ਕਸਕਾਸੀ,KASKÁSÍ
ਕਸਕੱਸੀ,KASKASSÍ
ਕਸਲਾਨਾ,KASLÁNÁ
ਕਸਮਲ,KASMAL
ਕਸਣਾ,KASṈÁ
ਕਾਸਣੀ,KÁSṈÍ
ਕਸੋਟਾ,KASOṬÁ
ਕਸੋਟੀ,KASOṬÍ
ਕਸਰੀ,KASRÍ
ਕੱਸ,KASS
ਕੱਸਾ,KASSÁ
ਕਾੱਸਾ,KÁSSÁ
ਕੱਸੀ,KASSÍ
ਕੱਸਣਾ,KASSṈÁ
ਕਸਟ,KASṬ
ਕਸਤ,KAST
ਕਾਸਟ,KÁSṬ
ਕਸਟਣੀ,KASṬAṈÍ
ਕਾਸਟੀ,KÁSṬÍ
ਕਾਸਤੀ,KÁSTÍ
ਕਸਤੂਰਾ,KASTÚRÁ
ਕਸਤੂਰੀ,KASTÚRÍ
ਕਾਸੂ,KÁSÚ
ਕਸੂਰ,KASÚR
ਕਸੂਰੀਆ,KASÚRÍÁ
ਕਸੂਤ,KASÚT
ਕਸੂਤਾ,KASÚTÁ
ਕਸਵਾਈ,KASWÁÍ
ਕਸਵਾਉਣੀ,KASWÁUṈÁ
ਕਸਯਾਣਾ,KASYÁṈÁ
ਕਟ,KAṬ
ਕਾਤ,KÁT
ਕਾਟ,KÁṬ
ਕਤਾ,KATÁ
ਕਤਾਬ,KATÁB
ਕਾਤਬ,KÁTAB
ਕਤਾਬਣ,KATÁBAṈ
ਕਤਾਬੀ,KATÁBÍ
ਕਤਾਬੀਆ,KATÁBÍÁ
ਕਤਾਬੀ,KATÁBÍ
ਕਾਤਬੀ,KATABÍ
ਕਟਹਿਡ਼ਾ,KAṬAHIṚÁ
ਕਟਾਈ,KAṬÁÍ
ਕਤਾਈ,KATÁÍ
ਕਾਤਕ,KÁTAK
ਕਟਕ,KAṬAK
ਕਟਾਖ,KAṬÁKH
ਕਾਤਕੀ,KÁTAKÍ
ਕਾਤਲ,KÁTAL
ਕਤਾਨ,KATÁN
ਕਤਨ,KATAN
ਕਾਤਰ,KÁTAR
ਕਤਾਰ,KATÁR
ਕਟਾਰ,KAṬÁR
ਕਟਾਰਾ,KAṬÁRÁ
ਕਟਾਰੀ,KAṬÁRÍ
ਕਟਾਰੀਆ,KAṬÁRÍÁ
ਕਤਰਨਾ,KATARNÁ
ਕਤਰਨੀ,KATARNÍ
ਕਟਾਉ,KAṬÁU
ਕਟਾਊ,KAṬÁÚ
ਕਟਾਉਣਾ,KAṬÁUṈÁ
ਕਤਾਉਣਾ,KATÁUṈÁ
ਕਟਾਵਟ,KAṬÁWAṈ
ਕਤੇਬ,KATEB
ਕਤੇਬਣ,KATEBAṈ
ਕਤੇਬੀ,KATEBÍ
ਕਤੇਬੀਆ,KATEBÍÁ
ਕਤੇਬੀ,KATEBÍ
ਕਟੇਲਾ,KAṬELÁ
ਕਾਠ,KÁṬH
ਕਥ,KATH
ਕਥਾ,KATHÁ
ਕਥਲ,KATHAL
ਕਠਣ,KAṬHAṈ
ਕਥੇਰ,KATHER
ਕਾਠੀ,KÁTHÍ
ਕਾਠੀਆ,KÁṬHÍÁ
ਕਥਣਾ,KATHṈÁ
ਕਠਨਾਈ,KAṬHNÁÍ
ਕਠਨਊ,KAṬHNAÚ
ਕਥਣੀ,KATHṈÍ
ਕਠੋਰ,KAṬHOR
ਕਾਠਡ਼ਾ,KÁṬHṚÁ
ਕਾਠਡ਼ੀ,KÁṬHṚÍ
ਕਾਠਯਾਵਾਡ਼,KÁṬHYÁWÁṚ
ਕਤੀ,KATÍ
ਕਟੀਲਾ,KAṬÍLÁ
ਕਤਿੰਹ,KATIṆH
ਕਤੀਰਾ,KATÍRÁ
ਕਤਲ,KATL
ਕਤਲਾ,KATLÁ
ਕਤਲਾਮ,KATLÁM
ਕਾਟੋ,KÁṬO
ਕਟੋਚ,KAṬOCH
ਕਟੋਰਾ,KAṬORÁ
ਕਟੋਰੀ,KAṬORÍ
ਕਟੋਰਦਾਨ,KAṬORDÁN
ਕਟਡ਼ਾ,KAṬṚÁ
ਕਤਾ੍,KATRÁ
ਕਤਰਾਈ,KATRÁÍ
ਕਤਾ੍ਤ,KATRÁT
ਕਤਾ੍ਉਣਾ,KATRÁUṈÁ
ਕਟਡ਼ੀ,KAṬṚÍ
ਕੱਟ,KAṬṬ
ਕੱਤ,KATT
ਕੱਤਾ,KATTÁ
ਕੱਟਾ,KAṬṬÁ
ਕੱਤਕ,KATTAK
ਕੱਤੇਂ,KATTEṆ
ਕੱਤਰ,KATTAR
ਕੱਟਡ਼,KAṬṬAṚ
ਕੱਥ,KATTH
ਕੱਥਾ,KATTHÁ
ਕੱਠ,KAṬṬH
ਕੱਠਾ,KAṬṬHÁ
ਕਾੱਠਾ,KÁṬṬHÁ
ਕੱਥਕ,KATTHAK
ਕਾੱਠੀ,KÁṬṬHÍ
ਕੱਥੀ,KATTHÍ
ਕਾੱਠੂ,KÁṬṬHÚ
ਕੱਟੀ,KAṬṬÍ
ਕੱਟਣਾ,KAṬṬṈÁ
ਕੱਤਣਾ,KATTṈÁ
ਕੱਤਣੀ,KATTṈÍ
ਕੱਟਣੀ,KAṬṬṈÍ
ਕੱਟੂ,KAṬṬÚ
ਕਟੂ,KAṬÚ
ਕਟੂਆ,KAṬÚÁ
ਕਤੂੰਗਡ਼ਾ,KATÚṆGAṚÁ
ਕਟਵਾਈ,KAṬWÁÍ
ਕਟਵਾਉਣਾ,KAṬWÁUṈÁ
ਕਊਂ,KAÚ
ਕਾਊ,KÁÚ
ਕਊਆ,KAÚÁ
ਕੌਚ,KAUCH
ਕੌਡ,KAUḌ
ਕਊਡ,KAUḌ
ਕੌਡਾ,KAUḌÁ
ਕਉਡਾ,KAUḌÁ
ਕੌਡੀ,KAUḌÍ
ਕੌਡੀਆ,KAUḌÍÁ
ਕੌਡਿਆਲਾ,KAUḌIÁLÁ
ਕੌਹਰ,KAUHAR
ਕੌਲ,KAUL
ਕੌਲ੍ਹਾ,KAULÁ
ਕੌਲ੍ਹਰ,KAULHAR
ਕੌਲੀ,KAULÍ
ਕੌਣ,KAUṈ
ਕਾਓਂ,KÁUṆ
ਕੌਂਚ,KAUṆCH
ਕੌਂਦ,KAUṆD
ਕਾਉਣੀ,KÁUṈÍ
ਕੌਂਣੀ,KAUṈÍ
ਕੌਂਸਲ,KAUṆSAL
ਕੌਂਸਲੀਆ,KAUṆSALÍÁ
ਕੌਂਤ,KAUṆT
ਕੌਂਤਕ,KUṆTAK
ਕੌਫ,KAUPH
ਕੌਰ,KAUR
ਕਉਰ,KAUR
ਕੌਡ਼,KAUṚ
ਕਉਡ਼,KAUṚ
ਕਾਉਡ਼,KÁUṚ
ਕੌਡ਼ਾ,KAUṚÁ
ਕੌਡ਼ੀ,KAUṚÍ
ਕੌਰਾ,KAURÁ
ਕੌਡ਼ੱਤਣ,KAUṚATTAṈ
ਕੌਰਿਆਲਾ,KAURIÁLÁ
ਕੌਰੀ,KAURÍ
ਕਉਡ਼ਣਾ,KAUṚṈÁ
ਕੌਡ਼ਣਾ,KAUṚṈÁ
ਕਾਉਡ਼ਣਾ,KÁUṚṈÁ
ਕੌਸਲੀਆ,KAUSLÍÁ
ਕੌਤਕ,KAUTAK
ਕੌਥ,KAUTH
ਕੌਥਾ,KAUTHÁ
ਕੌਥੀ,KAUTHÍ
ਕਾਵਾ,KÁWÁ
ਕਵਾਈ,KAWÁÍ
ਕਵਾਲ,KAWÁL
ਕਵਾਲੀ,KAWÁLÍ
ਕਾਵਡ਼,KÁWAṚ
ਕਵਾਡ਼ੀਆ,KAWÁṚÍÁ
ਕਵਾਡ਼,KAWÁṚ
ਕਵਾਡ਼ਾ,KAWÁṚÁ
ਕਵਾਰ,KAWÁR
ਕਵਾਰਾ,KAWÁRÁ
ਕਵਾਰੀ,KAWÁRÍ
ਕਵਰਗੰਦਲ,GAṆDAL
ਕਵਾਡ਼ੀ,KAWÁṚÍ
ਕਵਿ,KAWI
ਕਵੀ,KAWÍ
ਕਵਿਦ,KAWID
ਕਵਿਤਾ,KAWITÁ
ਕਵਿਤਾਈ,KAWITÁÍ
ਕਾਯ,KÁY
ਕਾਯਾ,KÁYÁ
ਕਾਯਕ,KÁYAK
ਕਾਯਾਂ,KÁYÁṆ
ਕਾਯਫਲ,KÁYPHAL
ਕੇ,KE
ਕੇਡ,KEḌ
ਕੇਡਾ,KEḌÁ
ਕੇਡੀ,KEḌÍ
ਕੇਦਾਰ,KEDÁR
ਕੇਡੇਂ,KEḌEṆ
ਕੇਹ,KEH
ਕੇਹਰ,KEHAR
ਕੇਹਰੀ,KEHARÍ
ਕੇਜਿਹਾਂ,KEJIHÁṆ
ਕੇਕੋਂ,KEKOṆ
ਕੇਲਾ,KELÁ
ਕੇਲੋ,KELOṆ
ਕੇਨ,KEN
ਕੇਨਾ,KENÁ
ਕੇਰਾ,KERÁ
ਕੇਡ਼੍ਹਾ,KEṚHÁ
ਕੇਡ਼੍ਹੀ,KEṚHÍ
ਕੇਰੀ,KERÍ
ਕੇਰਣਾ,KERṈÁ
ਕੇਸ,KES
ਕੇਸਾਦਾਰੀ,KESÁDHÁRÍ
ਕੇਸਾਂਦਾਰੀ,KESÁṆDHÁRÍ
ਕਸਾਦਾਰੀ,KESÁKESÍ
ਕੇਸਾਂਕੇਸੀ,KESÁṆKESÍ
ਕੇਸਰ,KESAR
ਕੇਸਰੀ,KESARÍ
ਕੇਸਰੀਯਾ,KESARÍYÁ
ਕੇਸਰਯਾ,KESARYÁ
ਕੇਂਸੂ,KESÚ
ਕੇਤਕੀ,KETAKÍ
ਕੇਤਲ,KETAL
ਕੇਤਲੀ,KETALÍ
ਕੇਊ,KEÚ
ਕੇਉਡ਼ਾ,KEUṚÁ
ਕੇਵਡ਼ਾ,KEWṚÁ
ਕੇਵਲ,KEWAL
ਕੇਵਰ,KEWAR
ਖਾਬ,KHÁB
ਖਾਬਨ,KHÁBAN
ਖਬਰ,KHABAR
ਖੱਬ,KHABB
ਖੱਬਾ,KHABBÁ
ਖੱਬੀ,KHABBÍ
ਖੱਬਲ,KHABBAL
ਖੱਭਲ,KHABBHAL
ਖੱਬਡ਼,KHABBAṚ
ਖੱਭਡ਼,KHABBHAṚ
ਖੱਭ,KHABBH
ਖੱਭੀ,KHABBHÍ
ਖੱਭਲੀ,KHABBHLÍ
ਖਭਡ਼ਾ,KHABHṚÁ
ਖਭਡ਼ੀ,KHABHṚÍ
ਖਬਚੂ,KHABCHÚ
ਖੱਬੂ,KHABBÚ
ਖਬੀਲ,KHABÍL
ਖਬੀਸ,KHABÍS
ਖਬੀਸਣੀ,KHABÍSṈÍ
ਖਾਬਰੂ,KHÁBRÚ
ਖਬਰੂ,KHABRÚ
ਖਰਚ,KHACHAR
ਖਰਚਾਊ,KHACHARAÚ
ਖਰਚਪੌਂ,KHACHARPAUṆ
ਖਰਚਪੁਣਾ,KHÁCHARPUṈÁ
ਖੱਚ,KHACHCH
ਖੱਚਾਂ,KHACHCHÁṆ
ਖੱਚਰ,KHACHCHAR
ਖਚਰਾ,KHACHRÁ
ਖਚਰਾਈ,KHACHRÁÍ
ਖਚਰੀ,KHACHRÍ
ਖਾਡ,KHÁḌ
ਖਡ,KHAḌ
ਖਾਡਾ,KHÁḌÁ
ਖਾਦਾ,KHÁDÁ
ਖਾਦਰ,KHÁDAR
ਖਡਾਉਣਾ,KHAḌÁUṈÁ
ਖੱਡ,KHAḌḌ
ਖੱਦਰ,KHADDAR
ਖੱਡੀ,KHAḌḌÍ
ਖਦੇਡ਼,KHADEṚ
ਖਦੇਡ਼ਣਾ,KHADEṚṈÁ
ਖਦੇਡ਼ੂ,KHADEṚÚ
ਖਾਧ,KHÁDH
ਖਾਡੀ,KHÁḌÍ
ਖਦਿਨਾ,KHADINÁ
ਖਦਮੁੱਦਾ,MUDDÁ
ਖਾਡੂ,KHÁḌÚ
ਖਫਾ,KHAFÁ
ਖਫਗਾਨ,KHAFGÁN
ਖਫਗੀ,KHAFGÍ
ਖਫਤਣ,KHAFTAṈ
ਖਫਤੀ,KHAFTÍ
ਖਫਤ,KHAFT
ਖਗ,KHAG
ਖਗਾ,KHAGÁ
ਖਾਗਰ,KHÁGAR
ਖਗਨ,KHAGAN
ਖੱਗਾ,KHAGGÁ
ਖਾਹਸ,KHÁHAS
ਖਾਹਸ਼,KHÁHASH
ਖਹਿ,KHAHI
ਖਹਿਬਡ਼ਣਾ,KHAHIBAṚṈÁ
ਖਹਿਣਾ,KHAHIṈÁ
ਖਹਿਡ਼ਾ,KHAHIṚÁ
ਖਾਹਡ਼ਾ,KHÁHṚÁ
ਖੈ,KHAI
ਖਾਈ,KHÁÍ
ਖਾਇਆ,KHÁIÁ
ਖੈਹ,KHAIH
ਖੈਹਣਾ,KHAIHṈÍ
ਖੈਹਡ਼ਾ,KHAIHṚÁ
ਖਾਇਲ,KHÁIL
ਖੈਂਚ,KHAIṆCH
ਖੈਰ,KHAIR
ਖੈਰਾ,KHAIRÁ
ਖੈਰਾਤ,KHAIRÁT
ਖੈਰਾਇਤ,KHAIRÁIT
ਖੈਰਾਇਤੀ,KHAIRÁITÍ
