Word,Translit,Normalized
निपातित,nipātit,n i p aa t i t
निपाती,nipātī,n i p aa t ii
निपुण,nipuṇ,n i p u n
निपुणता,nipuṇtā,n i p u n t aa
निपुणत्व,nipuṇatv,n i p u n a t v
निपुनाई,nipunāī,n i p u n aa ii
निपूत,nipūt,n i p uu t
निपूता,nipūtā,n i p uu t aa
निपेटौ,nipeṭau,n i p e tt O
निपोड़ना,nipoṛnā,n i p o rr n aa
निफ़ाक़,nifāq,n i f aa q
निबंध,nibandh,n i b a n dh
निबंधन,nibandhan,n i b a n dh a n
निबंधनी,nibandhnī,n i b a n dh n ii
निबंधित,nibandhit,n i b a n dh i t
निबंधी,nibandhī,n i b a n dh ii
निबटना,nibaṭnā,n i b a tt n aa
निबटाना,nibṭānā,n i b tt aa n aa
निबटारा,nibṭārā,n i b tt aa r aa
निबटाव,nibṭāv,n i b tt aa v
निबटेरा,nibṭerā,n i b tt e r aa
निबद्ध,nibaddh,n i b a d dh
निबल,nibal,n i b a l
निबहना,nibahnā,n i b a h n aa
निबाह,nibāh,n i b aa h
निबाहना,nibāhnā,n i b aa h n aa
निबुक,nibuk,n i b u k
निबेड़ना,nibeṛnā,n i b e rr n aa
निबेर,niber,n i b e r
निबेरा,niberā,n i b e r aa
निबौरी,nibaurī,n i b O r ii
निभ,nibh,n i bh
निभना,nibhnā,n i bh n aa
निभाना,nibhānā,n i bh aa n aa
निभाव,nibhāv,n i bh aa v
निभृत,nibhŕt,n i bh r i t
निमंत्रक,nimantrak,n i m a n t r a k
निमंत्रण,nimantraṇ,n i m a n t r a n
निमंत्रित,nimantrit,n i m a n t r i t
निमक,nimak,n i m a k
निमकी,nimkī,n i m k ii
निमकौड़ी,nimkauṛī,n i m k O rr ii
निमछड़ा,nimachṛā,n i m a ch rr aa
निमता,nimtā,n i m t aa
निमाणी,nimāṇī,n i m aa n ii
निमाना,nimānā,n i m aa n aa
निमित्त,nimitt,n i m i t t
निमित्तक,nimittak,n i m i t t a k
निमित्तता,nimittatā,n i m i t t a t aa
निमित्ती,nimittī,n i m i t t ii
निमिलिका,nimilikā,n i m i l i k aa
निमिष,nimiṣ,n i m i sh
निमीलन,nimīlan,n i m ii l a n
निमीली,nimīlī,n i m ii l ii
निमुछिया,nimuchiyā,n i m u ch i y aa
निमुहाँ,nimuhā̃,n i m u h aa ~
निमेष,nimeṣ,n i m e sh
निमोना,nimonā,n i m o n aa
निमौनी,nimaunī,n i m O n ii
निम्न,nimn,n i m n
निम्नतम,nimnatam,n i m n a t a m
निम्नता,nimnatā,n i m n a t aa
निम्मन,nimman,n i m m a n
नियंता,niyantā,n i y a n t aa
नियंत्रक,niyantrak,n i y a n t r a k
नियंत्रण,niyantraṇ,n i y a n t r a n
नियंत्रित,niyantrit,n i y a n t r i t
नियत,niyat,n i y a t
नियत,niyat,n i y a t
नियतन,niyatan,n i y a t a n
नियति,niyati,n i y a t i
नियम,niyam,n i y a m
नियमन,niyaman,n i y a m a n
नियमित,niyamit,n i y a m i t
नियमी,niyamī,n i y a m ii
नियर,niyar,n i y a r
नियरा,niyarā,n i y a r aa
नियराई,niyarāī,n i y a r aa ii
नियरे,niyare,n i y a r e
नियाज़,niyāz,n i y aa z
नियादर,niyādar,n i y aa d a r
नियामक,niyāmak,n i y aa m a k
नियामकता,niyāmaktā,n i y aa m a k t aa
नियामत,niyāmat,n i y aa m a t
नियार,niyār,n i y aa r
नियारा,niyārā,n i y aa r aa
नियुक्त,niyukt,n i y u k t
नियुक्ति,niyukti,n i y u k t i
नियुद्ध,niyuddh,n i y u d dh
नियोक्ता,niyoktā,n i y o k t aa
नियोग,niyog,n i y o g
नियोगी,niyogī,n i y o g ii
नियोजक,niyojak,n i y o j a k
नियोजन,niyojan,n i y o j a n
नियोजित,niyojit,n i y o j i t
नियोज्य,niyojy,n i y o j y
नियोद्धा,niyoddhā,n i y o d dh aa
निर्,nir,n i r
निरंकार,niraṅkār,n i r a ng k aa r
निरंकुश,niraṅkuś,n i r a ng k u sh
निरंकुशता,niraṅkuśtā,n i r a ng k u sh t aa
निरंजन,nirañjan,n i r a n ~ j a n
निरंतर,nirantar,n i r a n t a r
निरंध,nirandh,n i r a n dh
निरंबु,nirambu,n i r a m b u
निरंभ,nirambh,n i r a m bh
निरंस,nirans,n i r a n s
निरक्ष,nirakṣ,n i r a k sh
निरक्षर,nirakṣar,n i r a k sh a r
निरक्षरता,nirakṣartā,n i r a k sh a r t aa
निरख़,nirax,n i r a x
निरखना,nirakhnā,n i r a kh n aa
निरखी,nirkhī,n i r kh ii
निरचू,nircū,n i r c uu
निरजोस,nirjos,n i r j o s
निरत,nirat,n i r a t
निरति,nirti,n i r t i
निरदहनी,nirdahnī,n i r d a h n ii
निरधार,nirdhār,n i r dh aa r
निरधार,nirdhār,n i r dh aa r
निरन्न,nirann,n i r a n n
निरन्ना,nirannā,n i r a n n aa
निरन्वय,niranvay,n i r a n v a y
निरपराध,niraprādh,n i r a p r aa dh
निरपराधी,niraprādhī,n i r a p r aa dh ii
निरपवाद,nirapvād,n i r a p v aa d
निरपेक्ष,nirpekṣ,n i r p e k sh
निरपेक्षता,nirpekṣatā,n i r p e k sh a t aa
निरपेक्षा,nirpekṣā,n i r p e k sh aa
निरपेक्षित,nirpekṣit,n i r p e k sh i t
निरपेक्षी,nirpekṣī,n i r p e k sh ii
निरबाह,nirbāh,n i r b aa h
निरबिसी,nirbisī,n i r b i s ii
निरबैना,nirbainā,n i r b E n aa
निरभ्र,nirabhr,n i r a bh r
निरमा,nirmā,n i r m aa
निरमोल,nirmol,n i r m o l
निरर्थक,nirarthak,n i r a r th a k
निरवनीकरण,nirvanīkraṇ,n i r v a n ii k r a n
निरवलंब,niravlamb,n i r a v l a m b
निरस,niras,n i r a s
निरसन,nirsan,n i r s a n
निरसा,nirsā,n i r s aa
निरस्त,nirast,n i r a s t
निरस्त्र,nirastr,n i r a s t r
निरहंकार,nirhaṅkār,n i r h a ng k aa r
निरा,nirā,n i r aa
निरा,nirā,n i r aa
निराई,nirāī,n i r aa ii
निराकरण,nirākraṇ,n i r aa k r a n
निराकांक्ष,nirākāṅkṣ,n i r aa k aa ng k sh
निराकांक्षा,nirākāṅkṣā,n i r aa k aa ng k sh aa
निराकांक्षी,nirākāṅkṣī,n i r aa k aa ng k sh ii
निराकार,nirākār,n i r aa k aa r
निराकृत,nirākŕt,n i r aa k r i t
निराकृति,nirākŕti,n i r aa k r i t i
निराघात,nirāghāt,n i r aa gh aa t
निराचार,nirācār,n i r aa c aa r
निरादर,nirādar,n i r aa d a r
निरादृत,nirādŕt,n i r aa d r i t
निरादेश,nirādeś,n i r aa d e sh
निराधार,nirādhār,n i r aa dh aa r
निरापद,nirāpad,n i r aa p a d
निरापदता,nirāpadtā,n i r aa p a d t aa
निरामय,nirāmay,n i r aa m a y
निरामिष,nirāmiṣ,n i r aa m i sh
निरामिषी,nirāmiṣī,n i r aa m i sh ii
निरायास,nirāyās,n i r aa y aa s
निरायुध,nirāyudh,n i r aa y u dh
निरालंब,nirālamb,n i r aa l a m b
निरालस्य,nirālasy,n i r aa l a s y
निराला,nirālā,n i r aa l aa
निरालापन,nirālāpan,n i r aa l aa p a n
निरावरण,nirāvraṇ,n i r aa v r a n
निराश,nirāś,n i r aa sh
निराशा,nirāśā,n i r aa sh aa
निराशिष,nirāśiṣ,n i r aa sh i sh
निराशी,nirāśī,n i r aa sh ii
निराश्रय,nirāśray,n i r aa sh r a y
निराश्रित,nirāśrit,n i r aa sh r i t
निरास,nirās,n i r aa s
निरासी,nirāsī,n i r aa s ii
निराहार,nirāhār,n i r aa h aa r
निरीक्षक,nirīkṣak,n i r ii k sh a k
निरीक्षण,nirīkṣaṇ,n i r ii k sh a n
निरीक्षा,nirīkṣā,n i r ii k sh aa
निरीक्षित,nirīkṣit,n i r ii k sh i t
निरीक्ष्य,nirīkṣy,n i r ii k sh y
निरीखना,nirīkhnā,n i r ii kh n aa
निरीह,nirīh,n i r ii h
निरीहता,nirīhtā,n i r ii h t aa
निरुक्त,nirukt,n i r u k t
निरुक्ति,nirukti,n i r u k t i
निरुत्तर,niruttar,n i r u t t a r
निरुत्साह,nirutsāh,n i r u t s aa h
निरुत्साहित,nirutsāhit,n i r u t s aa h i t
निरुद्देश्य,niruddeśy,n i r u d d e sh y
निरुद्ध,niruddh,n i r u d dh
निरुद्यम,nirudyam,n i r u d y a m
निरुद्यमी,nirudyamī,n i r u d y a m ii
निरुद्योग,nirudyog,n i r u d y o g
निरुपद्रव,nirupadrav,n i r u p a d r a v
निरुपम,nirupam,n i r u p a m
निरुपमित,nirupmit,n i r u p m i t
निरुपाधि,nirupādhi,n i r u p aa dh i
निरुपाय,nirupāy,n i r u p aa y
निरुवर,niruvar,n i r u v a r
निरुवार,niruvār,n i r u v aa r
निरुवार,niruvār,n i r u v aa r
निरूप,nirūp,n i r uu p
निरूपक,nirūpak,n i r uu p a k
निरूपण,nirūpaṇ,n i r uu p a n
निरूपित,nirūpit,n i r uu p i t
निरूप्य,nirūpy,n i r uu p y
निर्ऋति,nirŕti,n i r r i t i
निरेख,nirekh,n i r e kh
निरोग,nirog,n i r o g
निरोगी,nirogī,n i r o g ii
निरोगीपन,nirogīpan,n i r o g ii p a n
निरोध,nirodh,n i r o dh
निरोधक,nirodhak,n i r o dh a k
निरोधन,nirodhan,n i r o dh a n
निरोधी,nirodhī,n i r o dh ii
निरौषध,nirauṣadh,n i r O sh a dh
निर्गंध,nirgandh,n i r g a n dh
निर्गत,nirgat,n i r g a t
निर्गम,nirgam,n i r g a m
निर्गम,nirgam,n i r g a m
निर्गमन,nirgaman,n i r g a m a n
निर्गमित,nirgamit,n i r g a m i t
निर्गुंडी,nirguṇḍī,n i r g u n dd ii
निर्गुट,nirguṭ,n i r g u tt
निर्गुटता,nirguṭtā,n i r g u tt t aa
निर्गुण,nirguṇ,n i r g u n
निर्गुणता,nirguṇtā,n i r g u n t aa
निर्गुणिया,nirguṇiyā,n i r g u n i y aa
निर्गुणी,nirguṇī,n i r g u n ii
निर्घंट,nirghaṇṭ,n i r gh a n tt
निर्घृण,nirghŕṇ,n i r gh r i n
निर्जन,nirjan,n i r j a n
निर्जल,nirjal,n i r j a l
निर्जला,nirjalā,n i r j a l aa
निर्जलित,nirjalit,n i r j a l i t
निर्जीव,nirjīv,n i r j ii v
निर्जीवन,nirjīvan,n i r j ii v a n
निर्झर,nirjhar,n i r jh a r
निर्णय,nirṇay,n i r n a y
निर्णयन,nirṇayan,n i r n a y a n
निर्णायक,nirṇāyak,n i r n aa y a k
निर्णीत,nirṇīt,n i r n ii t
निर्दय,nirday,n i r d a y
निर्दयता,nirdayatā,n i r d a y a t aa
निर्दयी,nirdayī,n i r d a y ii
निर्दिष्ट,nirdiṣṭ,n i r d i sh tt
निर्दिष्टि,nirdiṣṭi,n i r d i sh tt i
निर्देश,nirdeś,n i r d e sh
निर्देशक,nirdeśak,n i r d e sh a k
निर्देशन,nirdeśan,n i r d e sh a n
निर्देशिका,nirdeśikā,n i r d e sh i k aa
निर्देशित,nirdeśit,n i r d e sh i t
निर्दोष,nirdoṣ,n i r d o sh
निर्दोषता,nirdoṣtā,n i r d o sh t aa
निर्दोषिता,nirdoṣitā,n i r d o sh i t aa
निर्दोषी,nirdoṣī,n i r d o sh ii
निर्द्वंद्व,nirdvandv,n i r d v a n d v
निर्धन,nirdhan,n i r dh a n
निर्धनता,nirdhantā,n i r dh a n t aa
निर्धारण,nirdhāraṇ,n i r dh aa r a n
निर्धारित,nirdhārit,n i r dh aa r i t
निर्धार्य,nirdhāry,n i r dh aa r y
निर्धूत,nirdhūt,n i r dh uu t
निर्निमेष,nirnimeṣ,n i r n i m e sh
निर्पक्ष,nirpakṣ,n i r p a k sh
निर्फल,nirphal,n i r ph a l
निर्बंध,nirbandh,n i r b a n dh
निर्बंधन,nirbandhan,n i r b a n dh a n
निर्बल,nirbal,n i r b a l
निर्बलता,nirbaltā,n i r b a l t aa
निर्बाध,nirbādh,n i r b aa dh
निर्बीज,nirbīj,n i r b ii j
निर्बीजन,nirbījan,n i r b ii j a n
निर्बुद्धि,nirbuddhi,n i r b u d dh i
निर्बुद्धिता,nirbuddhitā,n i r b u d dh i t aa
निर्बोध,nirbodh,n i r b o dh
निर्भय,nirbhay,n i r bh a y
निर्भयता,nirbhayatā,n i r bh a y a t aa
निर्भर,nirbhar,n i r bh a r
निर्भरता,nirbhartā,n i r bh a r t aa
निर्भीक,nirbhīk,n i r bh ii k
निर्भ्रम,nirbhram,n i r bh r a m
निर्भ्रांत,nirbhrānt,n i r bh r aa n t
निर्मम,nirmam,n i r m a m
निर्ममता,nirmamtā,n i r m a m t aa
निर्मल,nirmal,n i r m a l
निर्मांस,nirmāns,n i r m aa n s
निर्माण,nirmāṇ,n i r m aa n
निर्माता,nirmātā,n i r m aa t aa
निर्मायक,nirmāyak,n i r m aa y a k
निर्माल्य,nirmāly,n i r m aa l y
निर्मित,nirmit,n i r m i t
निर्मिति,nirmiti,n i r m i t i
निर्मुक्त,nirmukt,n i r m u k t
निर्मूल,nirmūl,n i r m uu l
निर्मूलन,nirmūlan,n i r m uu l a n
निर्मेघ,nirmegh,n i r m e gh
निर्मोह,nirmoh,n i r m o h
निर्मोहिया,nirmohiyā,n i r m o h i y aa
निर्मोही,nirmohī,n i r m o h ii
निर्यात,niryāt,n i r y aa t
निर्यातक,niryātak,n i r y aa t a k
निर्यान,niryān,n i r y aa n
निर्यूथ,niryūth,n i r y uu th
निर्लज्ज,nirlajj,n i r l a j j
निर्लज्जता,nirlajjatā,n i r l a j j a t aa
निर्लिप्त,nirlipt,n i r l i p t
निर्लेप,nirlep,n i r l e p
निर्लोभ,nirlobh,n i r l o bh
निर्वंश,nirvanś,n i r v a n sh
निर्वंशी,nirvanśī,n i r v a n sh ii
निर्वनीकरण,nirvanīkraṇ,n i r v a n ii k r a n
निर्वस्त्र,nirvastr,n i r v a s t r
निर्वाक्,nirvāk,n i r v aa k
निर्वाचक,nirvācak,n i r v aa c a k
निर्वाचकता,nirvācaktā,n i r v aa c a k t aa
निर्वाचन,nirvācan,n i r v aa c a n
निर्वाचित,nirvācit,n i r v aa c i t
निर्वाच्य,nirvācy,n i r v aa c y
निर्वाण,nirvāṇ,n i r v aa n
निर्वात,nirvāt,n i r v aa t
निर्वाद,nirvād,n i r v aa d
निर्वापित,nirvāpit,n i r v aa p i t
निर्वासन,nirvāsan,n i r v aa s a n
निर्वासित,nirvāsit,n i r v aa s i t
निर्वाह,nirvāh,n i r v aa h
निर्वाहक,nirvāhak,n i r v aa h a k
निर्वाहन,nirvāhan,n i r v aa h a n
निर्विकल्प,nirvikalp,n i r v i k a l p
निर्विकार,nirvikār,n i r v i k aa r
निर्विघ्न,nirvighn,n i r v i gh n
निर्विघ्नता,nirvighnatā,n i r v i gh n a t aa
निर्विधायन,nirvidhāyan,n i r v i dh aa y a n
निर्विधायित,nirvidhāyit,n i r v i dh aa y i t
निर्विभाग,nirvibhāg,n i r v i bh aa g
निर्विवाद,nirvivād,n i r v i v aa d
निर्विवेक,nirvivek,n i r v i v e k
निर्विवेकता,nirvivektā,n i r v i v e k t aa
निर्विषी,nirviṣī,n i r v i sh ii
निर्वृत्त,nirvŕtt,n i r v r i t t
निर्वृत्ति,nirvŕtti,n i r v r i t t i
निर्वेद,nirved,n i r v e d
निर्वैर,nirvair,n i r v E r
निर्वैरता,nirvairtā,n i r v E r t aa
निर्व्यलीक,nirvyalīk,n i r v y a l ii k
निर्व्याज,nirvyāj,n i r v y aa j
निर्हेतु,nirhetu,n i r h e t u
निलंबन,nilamban,n i l a m b a n
निलंबित,nilambit,n i l a m b i t
निलज,nilaj,n i l a j
निलजई,niljaī,n i l j a ii
निलजता,nilajtā,n i l a j t aa
निलज्ज,nilajj,n i l a j j
निलज्जा,nilajjā,n i l a j j aa
निलज्जा,nilajjā,n i l a j j aa
निलय,nilay,n i l a y
निलोह,niloh,n i l o h
निवर्तमान,nivartamān,n i v a r t a m aa n
निवस,nivas,n i v a s
निवसन,nivsan,n i v s a n
निवसन,nivsan,n i v s a n
निवह,nivah,n i v a h
निवाई,nivāī,n i v aa ii
निवाड़,nivāṛ,n i v aa rr
निवान,nivān,n i v aa n
निवाना,nivānā,n i v aa n aa
निवाया,nivāyā,n i v aa y aa
निवार,nivār,n i v aa r
निवार,nivār,n i v aa r
निवार,nivār,n i v aa r
निवार,nivār,n i v aa r
निवारक,nivārak,n i v aa r a k
निवारण,nivāraṇ,n i v aa r a n
निवारित,nivārit,n i v aa r i t
निवारी,nivārī,n i v aa r ii
निवार्य,nivāry,n i v aa r y
निवाला,nivālā,n i v aa l aa
निवास,nivās,n i v aa s
निवास,nivās,n i v aa s
निवासन,nivāsan,n i v aa s a n
निवासित,nivāsit,n i v aa s i t
निवासिनी,nivāsinī,n i v aa s i n ii
निवासी,nivāsī,n i v aa s ii
निविड़,niviṛ,n i v i rr
निविदा,nividā,n i v i d aa
निवृत्त,nivŕtt,n i v r i t t
निवृत्ति,nivŕtti,n i v r i t t i
निवेदन,nivedan,n i v e d a n
निवेदित,nivedit,n i v e d i t
निवेश,niveś,n i v e sh
निश्,niś,n i sh
निशब्द,niśabd,n i sh a b d
निशांत,niśānt,n i sh aa n t
निशा,niśā,n i sh aa
निशा,niśā,n i sh aa
निशान,niśān,n i sh aa n
निशानची,niśāncī,n i sh aa n c ii
निशाना,niśānā,n i sh aa n aa
निशानी,niśānī,n i sh aa n ii
निशास्ता,niśāstā,n i sh aa s t aa
निशि,niśi,n i sh i
निशित,niśit,n i sh i t
निशीथ,niśīth,n i sh ii th
निश्चय,niścay,n i sh c a y
निश्चययन,niścayayan,n i sh c a y a y a n
निश्चयेन,niścayen,n i sh c a y e n
निश्चल,niścal,n i sh c a l
निश्चला,niścalā,n i sh c a l aa
निश्चायक,niścāyak,n i sh c aa y a k
निश्चिंत,niścint,n i sh c i n t
नीश्चिंतता,nīścinttā,n ii sh c i n t t aa
निश्चित,niścit,n i sh c i t
निश्चिति,niściti,n i sh c i t i
निश्चेतन,niścetan,n i sh c e t a n
निश्चेष्ट,niśceṣṭ,n i sh c e sh tt
निश्चेष्टता,niśceṣṭatā,n i sh c e sh tt a t aa
निश्चेष्टा,niśceṣṭā,n i sh c e sh tt aa
निश्छल,niśchal,n i sh ch a l
निश्रेयस,niśreyas,n i sh r e y a s
नियश्वास,niyaśvās,n i y a sh v aa s
निष्,niṣ,n i sh
निषंग,niṣaṅg,n i sh a ng g
निषंगी,niṣaṅgī,n i sh a ng g ii
निषध,niṣadh,n i sh a dh
निषाद,niṣād,n i sh aa d
निषिद्ध,niṣiddh,n i sh i d dh
निषिद्धता,niṣiddhatā,n i sh i d dh a t aa
निषिद्धि,niṣiddhi,n i sh i d dh i
निषेचन,niṣecan,n i sh e c a n
निषेक,niṣek,n i sh e k
निषेध,niṣedh,n i sh e dh
निषेधक,niṣedhak,n i sh e dh a k
निषेधन,niṣedhan,n i sh e dh a n
निषेधित,niṣedhit,n i sh e dh i t
निषेधी,niṣedhī,n i sh e dh ii
निष्क,niṣk,n i sh k
निष्कंटक,niṣkaṇṭak,n i sh k a n tt a k
निष्कपट,niṣkapaṭ,n i sh k a p a tt
निष्कपंटता,niṣkapaṇṭtā,n i sh k a p a n tt t aa
निष्कपटी,niṣkapṭī,n i sh k a p tt ii
निष्कर,niṣkar,n i sh k a r
निष्कर्ष,niṣkarṣ,n i sh k a r sh
निष्कलंक,niṣkalaṅk,n i sh k a l a ng k
निष्कलंकित,niṣkalaṅkit,n i sh k a l a ng k i t
निष्कलंकी,niṣkalaṅkī,n i sh k a l a ng k ii
निष्काम,niṣkām,n i sh k aa m
निष्कारण,niṣkāraṇ,n i sh k aa r a n
निष्कास,niṣkās,n i sh k aa s
निष्कासन,niṣkāsan,n i sh k aa s a n
निष्कासित,niṣkāsit,n i sh k aa s i t
निष्कीटक,niṣkīṭak,n i sh k ii tt a k
निष्कीटन,niṣkīṭan,n i sh k ii tt a n
निष्कीटित,niṣkīṭit,n i sh k ii tt i t
निष्कृत,niṣkŕt,n i sh k r i t
निष्कृति,niṣkŕti,n i sh k r i t i
निष्कृष्ट,niṣkŕṣṭ,n i sh k r i sh tt
निष्क्रम,niṣkram,n i sh k r a m
निष्क्रमण,niṣkramaṇ,n i sh k r a m a n
निष्क्रय,niṣkray,n i sh k r a y
निष्क्रांत,niṣkrānt,n i sh k r aa n t
निष्क्रामित,niṣkrāmit,n i sh k r aa m i t
निष्क्रिय,niṣkriy,n i sh k r i y
निष्क्रियता,niṣkriyatā,n i sh k r i y a t aa
निष्ठ,niṣṭh,n i sh tth
निष्ठा,niṣṭhā,n i sh tth aa
निष्ठान,niṣṭhān,n i sh tth aa n
निष्ठित,niṣṭhit,n i sh tth i t
निष्ठुर,niṣṭhur,n i sh tth u r
निष्ठुरता,niṣṭhurtā,n i sh tth u r t aa
निष्णात,niṣṇāt,n i sh n aa t
निष्पक्ष,niṣpakṣ,n i sh p a k sh
निष्पक्षता,niṣpakṣatā,n i sh p a k sh a t aa
निष्पत्ति,niṣpatti,n i sh p a t t i
निष्पन्न,niṣpann,n i sh p a n n
निष्पलक,niṣpalak,n i sh p a l a k
निष्पादक,niṣpādak,n i sh p aa d a k
निष्पादन,niṣpādan,n i sh p aa d a n
निष्पादित,niṣpādit,n i sh p aa d i t
निष्पाप,niṣpāp,n i sh p aa p
निष्पापता,niṣpāptā,n i sh p aa p t aa
निष्पाव,niṣpāv,n i sh p aa v
निष्पुत्र,niṣputr,n i sh p u t r
निष्पुरुष,niṣpuruṣ,n i sh p u r u sh
निष्प्रकारक,niṣprakārak,n i sh p r a k aa r a k
निष्प्रभ,niṣprabh,n i sh p r a bh
निष्प्रभवता,niṣprabhavtā,n i sh p r a bh a v t aa
निष्प्रमाण,niṣpramāṇ,n i sh p r a m aa n
निष्प्रयोजन,niṣprayojan,n i sh p r a y o j a n
निष्प्राण,niṣprāṇ,n i sh p r aa n
निष्फल,niṣphal,n i sh ph a l
निष्फलता,niṣphaltā,n i sh ph a l t aa
निष्फला,niṣphalā,n i sh ph a l aa
निष्फली,niṣphalī,n i sh ph a l ii
निस्,nis,n i s
निसंठ,nisaṇṭh,n i s a n tth
निस,nis,n i s
निसक,nisak,n i s a k
निसबत,nisbat,n i s b a t
निसबतन,nisabtan,n i s a b t a n
निसर्ग,nisarg,n i s a r g
निसाँस,nisā̃s,n i s aa ~ s
निसाँसी,nisā̃sī,n i s aa ~ s ii
निसार,nisār,n i s aa r
निसार,nisār,n i s aa r
निसावरा,nisāvrā,n i s aa v r aa
निसास,nisās,n i s aa s
निसुख,nisukh,n i s u kh
निसेनी,nisenī,n i s e n ii
निसोता,nisotā,n i s o t aa
निसोथ,nisoth,n i s o th
निस्तनद्र,nistanadr,n i s t a n a d r
निस्तब्ध,nistabdh,n i s t a b dh
निस्तब्धता,nistabdhatā,n i s t a b dh a t aa
निस्तर,nistar,n i s t a r
निस्तल,nistal,n i s t a l
निस्तार,nistār,n i s t aa r
निस्तारक,nistārak,n i s t aa r a k
निस्तारण,nistāraṇ,n i s t aa r a n
निस्तारना,nistārnā,n i s t aa r n aa
निस्तीर्ण,nistīrṇ,n i s t ii r n
निस्तेज,nistej,n i s t e j
निस्तोख,nistokh,n i s t o kh
निस्पंद,nispand,n i s p a n d
निस्पृह,nispŕh,n i s p r i h
निस्फ़,nisf,n i s f
निस्फ़ी,nisfī,n i s f ii
निस्यंदन,nisyandan,n i s y a n d a n
निस्वन,nisvan,n i s v a n
निस्संक्रामक,nissaṅkrāmak,n i s s a ng k r aa m a k
निस्संतान,nissantān,n i s s a n t aa n
निस्सहाय,nissahāy,n i s s a h aa y
निस्सार,nissār,n i s s aa r
निस्सारित,nissārit,n i s s aa r i t
निहंग,nihaṅg,n i h a ng g
निहचय,nihcay,n i h c a y
निहत्ता,nihattā,n i h a t t aa
निहत्था,nihatthā,n i h a t th aa
निहल,nihal,n i h a l
निहाई,nihāī,n i h aa ii
निहाउ,nihāu,n i h aa u
निहाना,nihānā,n i h aa n aa
निहानी,nihānī,n i h aa n ii
निहानी,nihānī,n i h aa n ii
निहानी,nihānī,n i h aa n ii
निहायत,nihāyat,n i h aa y a t
निहार,nihār,n i h aa r
निहारना,nihārnā,n i h aa r n aa
निहारी,nihārī,n i h aa r ii
निहाल,nihāl,n i h aa l
निहाल,nihāl,n i h aa l
निहालचा,nihālcā,n i h aa l c aa
निहाली,nihālī,n i h aa l ii
निहाली,nihālī,n i h aa l ii
निहित,nihit,n i h i t
निहुड़,nihuṛ,n i h u rr
निहुर,nihur,n i h u r
निहुराना,nihurānā,n i h u r aa n aa
निहोर,nihor,n i h o r
निहोरा,nihorā,n i h o r aa
नींद,nīnd,n ii n d
नींदना,nīndnā,n ii n d n aa
नींदी,nīndī,n ii n d ii
नींबू,nīmbū,n ii m b uu
नींव,nī̃v,n ii ~ v
नी,nī,n ii
नी,nī,n ii
नीक,nīk,n ii k
नीका,nīkā,n ii k aa
नीकौ,nīkau,n ii k O
नीच,nīc,n ii c
नीचता,nīctā,n ii c t aa
नीचपन,nīcpan,n ii c p a n
नीचा,nīcā,n ii c aa
नीचाई,nīcāī,n ii c aa ii
नीचान,nīcān,n ii c aa n
नीचे,nīce,n ii c e
नीठि,nīṭhi,n ii tth i
निठौ,niṭhau,n i tth O
नीड़,nīṛ,n ii rr
नीत,nīt,n ii t
नीति,nīti,n ii t i
नीप,nīp,n ii p
नीपूर,nīpūr,n ii p uu r
नीबू,nībū,n ii b uu
नीम,nīm,n ii m
नीम,nīm,n ii m
नीयत,nīyat,n ii y a t
नीरंध्र,nīrandhr,n ii r a n dh r
नीर,nīr,n ii r
नीरना,nīrnā,n ii r n aa
नीरव,nīrav,n ii r a v
नीरवता,nīravtā,n ii r a v t aa
नीरस,nīras,n ii r a s
नीरसता,nīrastā,n ii r a s t aa
नीराँजनी,nīrā̃jnī,n ii r aa ~ j n ii
नीरा,nīrā,n ii r aa
नीरा,nīrā,n ii r aa
नीराजन,nīrājan,n ii r aa j a n
नीरोग,nīrog,n ii r o g
नीरोगता,nīrogtā,n ii r o g t aa
नीरोगी,nīrogī,n ii r o g ii
नील,nīl,n ii l
नील,nīl,n ii l
नीलक,nīlak,n ii l a k
नीलता,nīltā,n ii l t aa
नीलम,nīlam,n ii l a m
नीला,nīlā,n ii l aa
नीला,nīlā,n ii l aa
नीलाई,nīlāī,n ii l aa ii
नीलापन,nīlāpan,n ii l aa p a n
नीलाम,nīlām,n ii l aa m
नीलामी,nīlāmī,n ii l aa m ii
नीलाहट,nīlāhaṭ,n ii l aa h a tt
नीलिमा,nīlimā,n ii l i m aa
नीलोपर,nīlopar,n ii l o p a r
नीलोफ़र,nīlofar,n ii l o f a r
नीवि,nīvi,n ii v i
नीवी,nīvī,n ii v ii
नीसान,nīsān,n ii s aa n
नीहार,nīhār,n ii h aa r
नीहारिका,nīhārikā,n ii h aa r i k aa
नुकटा,nukṭā,n u k tt aa
नुकता,nuktā,n u k t aa
नुक़ता,nuqtā,n u q t aa
नुकती,nuktī,n u k t ii
नुक़रा,nuqrā,n u q r aa
नुक़सान,nuqsān,n u q s aa n
नुक़सानी,nuqsānī,n u q s aa n ii
नुकीला,nukīlā,n u k ii l aa
नुक्कड़,nukkaṛ,n u k k a rr
नुक्का,nukkā,n u k k aa
नुक़्ल,nuql,n u q l
नुक़्स,nuqs,n u q s
नुचना,nucnā,n u c n aa
नुचवाना,nucvānā,n u c v aa n aa
नुमा,numā,n u m aa
नुमाइंदगी,numāindgī,n u m aa i n d g ii
नुमाइंदा,numāindā,n u m aa i n d aa
नुमाइश,numāiś,n u m aa i sh
नुमाइशी,numāiśī,n u m aa i sh ii
